"Läsk, julmust",3 FÖR 33 00 +pant ,"FLERA OLIKA SORTER 1,4L • 1,5L",,"Coca-Cola, Fanta, Sprite","5,00/st","COCA-COLA ZERO, 33cl",,Personliga:,Unnamed: 1,Unnamed: 2,
Willys,Vara,Pris,Beskrivning,Hemkop,Vara,Pris,Beskrivning,Coop,Vara,Pris,Beskrivning
Kycklingfilé,49 90 /st ,ELDORADO 900G,,"Babyspenat, Ruccola, Småbladsmix","10,00/st","GARANT EKO, 65g",,,,,
Grekiskt lantbröd,24 90 /st ,DAFGÅRD 560G,,Satsumas,"25,00/kg",ca: 100g,,,,,
Skogaholmslimpa,23 90 /st ,SKOGAHOLM 775G,,Svenskt fläsklägg,"34,95/kg","MOAB, ca 1,5kg",,,,,
Dagens enportionsrätter,4 FÖR 99 00 ,FINDUS 340-400G,,Lagrad hårdost,"79,00/st","ALLERUM, 670g",,,,,
Turkisk yoghurt,15 90 /st ,GARANT 5DL,,Svensk hel kyckling,"35,00/kg","GARANT, ca 1,35kg",,,,,
Kylda såser,2 FÖR 30 00 ,GARANT 200-250ML • 220G,,Granatäpple,"10,00/st",289g,,,,,
Kycklingfärs,39 90 /st ,GARANT 500G,,Gul lök,"10,00/kg",ca: 175g,,,,,
Blandfärs,39 90 /st ,GARANT 500G,,Morötter,"5,00/st",1kg,,,,,
Paprikamix,19 90 /st ,NEDERLÄNDERNA 400G,,Torskfilé,"99,00/st","FALKENBERG, 400g",,,,,
Svenska äpplen,16 90 /kg ,SVERIGE I LÖSVIKT,,Mozzarella,"17,00/st","GALBANI, 100-125g",,,,,
Brysselkål,14 90 /st ,NEDERLÄNDERNA 400G,,"Bönor, kikärter",,"GARANT EKO, 380/230g",,,,,
Rödbetor,4 90 /kg ,SVERIGE I LÖSVIKT,,Meratoast & Smårgåslimpa,"23,00/st","PÅGEN, 650-680g",,,,,
Champinjoner,14 90 /st ,"POLEN, LITAUEN 250G",,Ris Boil-In-Bag,"20,00/st","GARANT, 500g",,,,,
Gräddglass,2 FÖR 30 00 ,"SIA GLASS 0,5L",,Köttbullar,"39,00/st","GARANT, 600g",,,,,
Isterband,24 90 /st ,CHARKDELIKATES 330G,,"Tvättmedel, sköljmedel","29,00/st","GRUMME, 750ml",,,,,
Isterband,24 90 /st ,CHARKDELIKATES 330G,,"Kokosmjölk, kokosgrädde","12,00/st","GARANT EKO, 250ml",,,,,
Blodpudding,2 FÖR 17 00 ,GEAS 500G,,Glass,"49,00/st","BEN & JERRY'S, 0,42-0,46l",,,,,
Skivat smörgåspålägg,24 90 /st ,PÄRSONS 120G,,Ojämna laxbitar,"49,00/st","KALURI, 400g",,,,,
Mayonnaise,28 90 /st ,HELLMANN'S 250ML,,Rapsolja,"30,00/st","GARANT EKO, 500ml",,,,,
Choko flakes,24 90 /st ,ELDORADO 375G,,Alkoholfri öl,"29,95/st","PRIPPS BLÅ, 6x33cl",,,,,
Skivad ananas,17 90 /st ,DOLE 227/139G,,Ekologiskt kaffe,"59,95/st","ARVID NORDQUIST, 450g",,,,,
Kryddor i små glasburkar,2 FÖR 30 00 ,KOCKENS 7G-56G,,Pavé 4-pack,"17,95/st","GARANT, 300g",,,,,
Tortillabröd,17 90 /st ,GARANT 6P • 370G,,Falafel,"34,95/st","GARANT, 800g",,,,,
Ekologiska corn flakes,29 90 /st ,GARANT EKO 500G,,Schweppes 6-pack,"49,95/st","SCHWEPPES, 6x33cl",,,,,
Pastasås,17 90 /st ,BARILLA 400G,,"Vitamin Well, Nobe","16,95/st","VITAMIN WELL, 50cl",,,,,
Smaksatt yoghurt,19 90 /st ,YOGGI 1KG,,Delikatesskivor,"27,95/st","JAKOBSDALS, 70-110g",,,,,
Cottage cheese,23 90 /st ,GARANT 500G,,Wienerkorv,"59,95/st","LITHELLS, 750g",,,,,
Gårdsgoda,22 90 /st ,VALIO 250G,,Salame Rustico,"229,50/kg",NEGRONI,,,,,
Fruktklämmisar,5 FÖR 50 00 ,NESTLÉ 90G,,Prosciutto Crudo,"269,50/kg",NEGRONI,,,,,
Havregröt,44 90 /st ,NESTLÉ 480G,,Rörsocker i bit,"22,95/st","DANSUKKER, 500g",,,,,
Energidryck,15 00 /st +pant ,NOCCO 33CL,,Makrillfiléer 3-pack,"39,95/st","ELDORADO, 3x125g",,,,,
Chokladkaka,24 90 /st ,LINDT 100G,,Snabbkaffe,"59,95/st","GEVALIA, 200g",,,,,
Choklad stycksaker,3 FÖR 18 00 ,"SNICKERS 36,5G-57G",,Mild hårdost,"99,00/kg","ARLA, ca 670g",,,,,
Rosor mixade,59 90 /st ,BLOMMOR 7P,,Manchego,"299,50/kg",FALBYGDENS,,,,,
Fairtrade bukett,69 90 /st ,BLOMMOR STYCK,,"Tandkräm, tandborste","24,00/st","ZENDIUM, PEPSODENT, 75ml, 1-pack",,,,,
