Personliga:,,
Snacktomater,"50 %
rabatt",Marocko/Nederländerna/Coop. Klass 1. 350 g.
Pizza,"50 %
rabatt",Coop. Fryst. 340-370 g. Välj mellan olika sorter.
Kryddmix,"Vid köp av 2
50 %
rabatt",Santa Maria. 8-65 g. Välj mellan olika sorter.
Ekologiskt bregott,"50 %
rabatt",Bregott. Kravmärkt. 300 g.
,,
Bregott,44 90 /st, Max 2 köp/hushåll
Kycklingfiléer,89 90 /st., Sverige/Guldfågeln. 1 kg. Frysta. Jfr-pris 89:90/kg
Ost Familjefavoriter,69 90 /kg,
Lösviktsgodis,69 90 /kg,
Toalettpapper/Hushållspapper,3 för 99:-,
Plommontomater 500 g.,22:-, Klass 1. Jfr-pris 44:00/kg
Färsk fläskkarré Ca 1200 g.,69 90 /kg, Sverige. Kyld. Benfri. I bit. Jfr-pris 69:90/kg Max 2 köp/hushåll
Torskryggfilé,89 90 /st, Royal Greenland. Fryst. 3x125 g. Jfr-pris 239:73/kg
Potatisgratäng 800 g.,22 90 /st, Peka. Jfr-pris 28:63/kg
Smörgåspålägg,22 90 /st,
Kylda såser,22 90 /st,
Salami,19 90 /st,
Hela kaffebönor,2 för 139:-,
Flingor,34 90 /st,
Snabbnudlar,3 för 20:-,
Choklad,39 90 /st,
Laddkabel 3A,79:-,
Pizza,39 90 /st,
Kronhjortskav 240 g.,29 90 /st, Lapin Liha. Fryst. Jfr-pris 124:58/kg
Glass flerpack,2 för 89:-,
Julinslagningspapper,3 för 30:-,
Broccoli 800 g.,25:-, Coop. Fryst. Jfr-pris 31:25/kg
Pastarätter,69 90 /st,
Julfigurer,2 för 40:-,
Vegofärs 300 g.,25:-, Coop. Fryst. Jfr-pris 83:33/kg
Stekpanna 28 cm,199:-, Coop. Med keramisk beläggning av hög kvalitet. Soft touch handtag. Fungerar på alla spishällar inklusive induktion. Ord. pris 299 /st
