Läsk,2 för 29:-,, https://www.coop.se/Assets/Images/missing-image-white.png
Kycklinginnerfilé,55:-,700 g.,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1621926252/429604/Kycklinginnerfil%C3%A9.png"
Middagskorv,25:-,800 g.,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1730296501/cloud/398184/Middagskorv.png"
Apelsiner i nät,15:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1630078966/cloud/210062/Apelsiner%20i%20n%C3%A4t.png"
Kryddiga korvar,2 för 55:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1555496445/370899/Kryddiga%20korvar.png"
Soppa,25:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1696855066/cloud/292553/Soppa.png"
Rökt skinka,15:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1726741024/cloud/387164/R%C3%B6kt%20skinka.png"
Hots,20:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1729503607/cloud/395470/Hots.png"
Ekologisk palsternacka,20:-,500 g.,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1636362932/cloud/178362/Ekologisk%20palsternacka.png"
Drickyoghurt,10:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1719581926/cloud/368623/Drickyoghurt.png"
Bärdryck koncentrat,4 för 30:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1693404501/cloud/289616/B%C3%A4rdryck%20koncentrat.png"
Bondlimpa,25:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1665388053/cloud/259957/Bondlimpa.png"
Riven ost,25:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1683529755/cloud/280351/Riven%20ost.png"
Italiensk hårdost - Grana Padano,35:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1727349269/cloud/389779/Italiensk%20h%C3%A5rdost%20-%20Grana%20Padano.png"
Maskindisktabletter,65:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1708338292/cloud/328596/Maskindisktabletter.png"
Granola,45:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1725458907/cloud/383231/Granola.png"
Fond,30:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1635170890/cloud/237356/Fond.png"
Långkornigt ris,30:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1646217683/cloud/176329/L%C3%A5ngkornigt%20ris.png"
Potatismos 6-pack,20:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1572616766/384901/Potatismos%206-pack.png"
Ekologiskt vetemjöl,15:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1648151588/cloud/201432/Ekologiskt%20vetemj%C3%B6l.png"
Makaroner,2 för 30:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1738143007/cloud/429054/Makaroner.png"
D-vitamin tuggtabletter,40:-,100 st.,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1678354106/cloud/276476/D-vitamin%20tuggtabletter.png"
Munskölj,40:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1724335560/cloud/380249/Munsk%C3%B6lj.png"
Oxpytt,45:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1599477484/406828/Oxpytt.png"
Ekologiska gröna ärtor,2 för 35:-,400 g.,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1715677631/cloud/353786/Ekologiska%20gr%C3%B6na%20%C3%A4rtor.png"
Ekologisk panerad torsk,60:-,340 g.,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1624291866/190331/Ekologisk%20panerad%20torsk.png"
Kyckling,79:-,,"https://res.cloudinary.com/coopsverige/images/f_auto,fl_clip,fl_progressive,q_auto,c_lpad,g_center,h_120,w_120/v1566474647/378668/Kyckling.png"
