Frysta räkor 50/70,"59,00
/st","ROYAL GREENLAND, 500g"
Grillkorv,"20,00
/st","GARANT, 400g"
"Halloumi, Grilloumi","26,00
/st","FONTANA, 150-200g"
Majonnäs,"20,00
/st","HELLMANN'S, 400g"
Noblesse,"25,00
/st","MARABOU, 110-150g"
Juice,"20,00
/st","GARANT, 1l"
Gräddfil,"10,00
/st","ARLA, 3dl"
Läsk 6-pack,"30,00
/st","COCA-COLA, FANTA, 6x33cl"
Dessertost,"22,00
/st","CASTELLO, 150g"
Kylda såser,"16,00
/st","ERIKS SÅSER, 170-255ml"
Tuc kex,2 för 15 kr,"LU, 100g"
Vego chorizo,"25,00
/st","GARANT, 240g"
Caviar,"25,00
/st","GARANT, 75g"
Potatisgratäng,"20,00
/st","PEKA, 700-800g"
Kronärtskocka,"10,00
/st",250g
Fetaost,"10,00
/st","TAVERNA, 100g"
Prästost,"69,95
/kg","FALKÖPINGS, ca 850g"
"Babyspenat, Ruccola, Småbladsmix","10,00
/st","GARANT EKO, 65g"
Svensk fläskkarré,"59,95
/kg","SCAN, ca 1,1kg"
Färska hamburgare,"35,00
/st","GARANT, 452g"
Naturgodis,"119,50
/kg","PICK & MIX,"
Maskindisktabletter,"69,00
/st","YES, 35-50pack"
Grillolja,"16,95
/st","SANTA MARIA, 270ml"
Flingsalt,"20,00
/st","GARANT, 170g"
Tårta,"44,95
/st","FRÖDINGE, 400-500g"
Köttbulllar,"36,95
/st","FELIX, 340-420g"
Kladdkaka,"34,95
/st","FRIA, 400g"
Meloner,"25,00
/kg",ca 2kg
Kycklingbröstfilé,"249,00
/kg","REKO, ca 500g"
Svensk biff,"229,00
/kg","GARANT EKO, ca 1kg"
Tomahawk,"269,00
/kg","PRIME, ca 1kg"
Rostbiff,"229,50
/kg","BRÖDERNAS,"
Cheddar,"119,00
/kg","KVIBILLE, ca 0,5-1,4kg"
Säsongsbukett,"129,00
/st",
Pioner 3-pack,"49,95
/st",
Margerit med midsommarstång,"34,95
/st",
Rädisor i knippe,"10,00
/st",
Hallon,"25,00
/st",125g
"Koriander, mynta","10,00
/st",ca 100g
Babyplommontomater,"25,00
/st",400g
Grön sparris,"20,00
/st",ca 250g
Avokado,"6,00
/st",170g
Tonfisk,"69,95
/st","LERÖY, 230g"
Skivad lax,"49,95
/st","FALKENBERG, 150g"
Grillade kycklingspett,"20,00
/st","GULDFÅGELN, ca 60g"
Svensk högrevsfärs,"69,95
/st","GARANT, 500g"
Färska kryddkorvar,"34,95
/st","GARANT, 270-350g"
Kavring,"25,00
/st","PÅGEN, 550g"
Kryddkorvar,"28,95
/st","SCAN, 240-300g"
Sockerfritt godis,"15,00
/st","WELLIBITES, 70g"
Inläggningssill,"29,95
/st","ABBA, 430/210-215g"
Sill i småglas,"17,95
/st","ABBA, 220-240/110-120g"
Delikatessköttbullar,"44,95
/st","SCAN, 450g"
Tunnbröd,"22,95
/st","GENE, 330g"
"Sarek, Abisko","22,95
/st","POLARBRÖD, 360-375g"
Levainbröd,"25,00
/st","DAFGÅRD, 600g"
Handdiskmedel,"26,95
/st","YES, 620-650ml"
Potatissallad,"32,95
/st","RYDBERGS, 750g"
Amerikansk dressing,"15,00
/st","KAVLI, 230-240g"
Västerbottensost,"74,95
/st","VÄSTERBOTTENS, 450g"
"Brie, Camembert","27,95
/st","PRÉSIDENT, 200-250g"
Cheez dippers,"22,95
/st","SKRATTANDE KON, 175g"
Mini babybel,"22,95
/st","BABYBEL, 120g"
"Matlagninsggrädde, vispgrädde","15,00
/st","VALIO, 3,3dl"
"Mandeldryck, kokosdryck","20,00
/st","ALPRO, 1l"
Bregott,"44,95
/st","ARLA, 600g"
Paj,"30,00
/st","CAROLINES KÖK, 300g"
Chokladkakor,"20,00
/st","LINDT, 100g"
Nötter Trippel,"34,95
/st","DEN LILLE NØTTEFABRIKKEN, 260g"
"Corona 3,2%","10,00
/st","CORONA, 35,5cl"
Oliver,"25,00
/st","ZETA, 370/170g"
Olivolja,"49,95
/st","ZETA, 500ml"
TÅRTBOTTEN 1F12,"12,00
/st","ELDORADO, 340g"
Tofu,2 för 50 kr,"YIPIN, 200-400g"
Cider,2 för 26 kr,"HERRLJUNGA, 1l"
Kaffe hela bönor,2 för 89 kr,"LÖFBERGS, 400g"
Intimvård,2 för 40 kr,"LIBRESSE, 10-50pack, 200ml"
Servetter,2 för 49 kr,"FIXA, 50-pack"
Snacks,2 för 38 kr,"ESTRELLA, 160-275g"
"Alkoholfri öl, cider",3 för 30 kr,"BRISKA, MELLERUDS, MARIESTAD,, 33cl"
Gräddglass,2 för 25 kr,"SIA GLASS, 0,5l"
Matjessill,2 för 35 kr,"ABBA, 200-215/125g"
Salami,2 för 35 kr,"GRILSTAD, 80-100g"
Marinad,2 för 15 kr,"SANTA MARIA, 75g"
"YTTERFILÉ 59,95/KG","59,95
/kg","DALSJÖFORS, ca 900g"
Lime,3 för 10 kr,
GULASCH FELIX,"39,95
/st","FELIX, 560g"
COUSCOUS,"27,95
/st","GARANT, 1000g"
BREGOTT EKO,"59,95
/st","BREGOTT, 600g"
SKALADE RÄKOR,"49,95
/st","GARANT, 505/200g"
