"Tortilla, tacosås, kryddmix",3 för 25 kr,"GARANT, 30-320g"
Tonfisk,"25,00
/st","GARANT, 3x80g"
Ishavsräkor,"59,00
/st","GARANT, 400g"
Fish & crisp,"39,00
/st","FINDUS, 480g"
"Schampo, balsam, tvål, duschkräm, deodorant",2 för 25 kr,"BARNÄNGEN, 250ml"
Vego chorizo,"25,00
/st","GARANT, 240g"
Smörgåspålägg,"20,00
/st","LÖNNEBERGA, 120g"
Tortillachips,"6,00
/st","GARANT, 200g"
Bondbröd,"20,00
/st","ÖSTRAS BRÖD, 1kg"
Pepsi 6-pack,"20,00
/st","PEPSI, 6x33cl"
Kylda såser,2 för 30 kr,"LOHMANDERS, 230ml"
Glass,2 för 30 kr,"TRIUMF GLASS, 0,5l"
Varmkorv,"44,95
/st","LITHELLS, 900g"
Tonfisk,"69,95
/st","LERÖY, 230g"
Räkspett,"39,95
/st","LERÖY, 150g"
Ätmogen avokado,"29,95
/st",ca 320g
Champinjoner,"15,00
/st",250g
"Koriander, mynta","15,00
/st",ca 100g
Gröna druvor,"25,00
/st",500g
Nektariner,"29,95
/st",1kg
Chilifrukter,"10,00
/st",20-40g
Skinka,"189,50
/kg","JAKOBSDALS, ca 1.8kg"
Svensk rostas,"179,00
/kg","DALSJÖFORS, ca 1kg"
Tonfiskloin,"299,00
/kg","LERÖY,"
Färsk laxfilé,"179,00
/kg","FALKENBERG, ca 1,5kg"
Hel vattenmelon,"15,00
/kg",ca 4kg
Svenska kvisttomater,"25,00
/kg",ca 160g
Våtservetter,"15,00
/st","MEVOLUTION, 30-pack"
Iskaffe,"15,00
/st","GEIA FOOD, 1l"
Vitlöksbaguetter,"15,00
/st","GARANT, 2x175g"
Mörkt fröbröd,"20,00
/st","GARANT, 500g"
Maskindisktabletter,"69,00
/st","YES, 35-50pack"
"Originalrost, Fiberrost","26,95
/st","SKOGAHOLM, 1kg"
Majskorn 3-pack,"22,95
/st","GARANT, 3x198g"
Gourmet tranbär,"29,95
/st","BONJOUR, 350g"
Olivolja Classico,"44,95
/st","GARANT, 500ml"
Stora handskalade räkor,"69,95
/st","FALKENBERG, 400/200g"
Grillkorv,"39,95
/st","SCAN, 400-640g"
Potatissallad,"33,95
/st","RYDBERGS, 750g"
Färska kryddkorvar,"34,95
/st","GARANT, 270-350g"
Svensk blandfärs,"49,95
/st","GARANT EKO, 500g"
Färska kycklingspett,"69,95
/st","LÖNNEBERGA, 480g"
Grillade kycklingklubbor,2 för 30 kr,"KRONFÅGEL, råvikt ca 560g"
Halloumi,2 för 55 kr,"FONTANA, 150-200g"
Linschips,2 för 39 kr,"ESTRELLA, 100-125g"
Knäckebröd,2 för 22 kr,"LEKSANDS, 190-200g"
"Matlagningsgrädde, vispgrädde",2 för 32 kr,"VALIO, 3-3,3dl"
Yoggi,2 för 40 kr,"ARLA, 1kg"
Kvarg,2 för 15 kr,"LINDAHLS, 150g"
Kaffe,2 för 99 kr,"CLASSIC, 500g"
Kondisbitar,2 för 25 kr,"ELDORADO, 170-225g"
GULASCH FELIX,"39,95
/st","FELIX, 560g"
COUSCOUS,"27,95
/st","GARANT, 1000g"
SKALADE RÄKOR,"54,95
/st","GARANT, 505/200g"
EKO KÖTTBULLAR,"41,95
/st","SCAN, 400g"
GRILLKORV,"25,95
/st","GARANT, 400g"
EKO KAVIAR,"21,95
/st","GARANT, 190g"
VISPGRÄDDE 5DL,"28,95
/st","GARANT, 5dl"
OMEGA LAX,"109,00
/st","OMEGA, 4x125g"
FRIA TOAST,"31,50
/st","FRIA, 500g"
FRIA FORMBRÖD,"31,50
/st","FRIA, 500g"
FRIA GROVA FORMBRÖD,"31,50
/st","FRIA, 500g"
TRIUMF GLASS 2L,"44,95
/st","TRIUMF GLASS, 2l"
EKO TORSKFILÉ,"54,95
/st","GARANT, 400g"
GAR HÅRDOST,"99,00
/kg","GARANT, ca 700g"
EKO BANAN,"24,95
/kg",ca 170g
VEG FÄRS,"74,95
/st","ANAMMA, 850g"
TURKISK YOGHURT,"29,95
/st","SALAKIS, 1kg"
SMÖR & RAPS,"47,95
/st","GARANT, 600g"
TANDKRÄM,"26,50
/st","ZENDIUM, 75ml"
"ÖL 2,8%","26,95
/st","EMD BRÄU, 6p/50cl"
EKO TOFU,"29,95
/st","YIPIN, 400g"
HANDDISK,"16,95
/st","SÅKLART, 500ml"
EKO KNÄCKEBRÖD,"14,95
/st","GARANT EKO, 200g"
SOJA TAMARI,"44,95
/st","GARANT EKO, 250ml"
EKO RAPSOLJA,"44,95
/st","GARANT EKO, 1l"
EKO MAJS,"29,95
/st","GARANT EKO, 3p/150g"
FISKBULLAR,"21,95
/st","ABBA, 375g"
O´BOY,"29,95
/st","O'BOY, 700g"
EKO PESTO,"31,95
/st","GARANT EKO, 190g"
START NATURELL,"31,95
/st","START!, 750g"
EKO KOKOSOLJA,"69,95
/st","GARANT EKO, 500ml"
GAR PARMIGIANO,"64,95
/st","GARANT, 200g"
EKO YOGHURT,"17,95
/st","GARANT EKO, 1kg"
GAR MJÖLK,"16,95
/st","GARANT, 1l"
EKO NÖTFÄRS,"65,95
/st","GARANT EKO, 500g"
VEGANOST,"49,95
/st","VIOLIFE, 400g"
VEGETARISK PASTEJ,"18,95
/st","PASTEJKÖKET, 200g"
SÅKLART HANDDISKMEDEL,"17,50
/st","SÅKLART, 0,5l"
WCD RENGÖRING,"19,95
/st","WC DUCK, 750ml"
