Mozzarella,2 för 15 kr,"FRESCA D´ORO, 125g"
Grillkorv ost & bacon,"15,00
/st","GARANT, 300g"
Feta,"20,00
/st","FONTANA, 150g"
Frysta räkor 50/70,"59,00
/st","ROYAL GREENLAND, 500g"
Smörgåspålägg,"15,00
/st","GARANT, 80-120g"
"Toalettpapper, hushållspapper","39,00
/st","LAMBI, 6-12pack"
Tandkräm,2 för 38 kr,"ZENDIUM, 75ml"
Juice,"22,00
/st","GARANT, 1l"
Pastasås,"15,00
/st","GARANT EKO, 400g"
Orientaliskt bröd,"6,00
/st","GARANT, 350g"
Grillad hel kyckling,"49,95
/st","KRONFÅGEL, råvikt ca 0,935-1,22kg"
Wienerbröd,"5,00
/st","DAFGÅRD, 85g"
Prosciutto crudo,"20,00
/st","GARANT, 80g"
Färsk koljafilé,"199,00
/kg","LERÖY,"
Kokta havskräftor,"99,00
/st","FALKENBERG, 700g"
Koljafilé,"79,95
/st","FALKENBERG, 400g"
Svensk fläskkarré,"89,00
/kg","GARANT, ca 0,5-1,5kg"
Svensk flapsteak,"129,00
/kg","DALSJÖFORS, ca 650g"
Svensk fläskytterfilé,"129,00
/kg","GARANT EKO, ca 800g"
Svenska tomater,"20,00
/kg",ca 80g
Svensk gul knipplök,"10,00
/st",
Röda plommon,"15,00
/st",500g
Svensk färskpotatis,"20,00
/st",900g
Bigarråer,"79,50
/kg",
Citron,"5,00
/st",
Svensk gurka,"10,00
/st",300-500g
Svensk broccoli,"10,00
/st",
Glasslåda Klassiker,"89,00
/st","GB GLACE, 18-pack"
Pommes,"15,00
/st","GARANT, 1kg"
Jordnötssmör,"28,95
/st","GARANT EKO, 350g"
Svenska grillspett,"49,95
/st","GARANT, 380g"
Färska högrevsburgare,"44,95
/st","GARANT, 300g"
Trocadero 6-pack,"25,00
/st","TROCADERO, 6x33cl"
Snacks,"25,00
/st","OLW, 200-285g"
"Jättefranska, Rasker","29,95
/st","PÅGEN, 1,1kg"
"Grekiskt lantbröd, franskt lantbröd, italienskt surdegsbröd","20,00
/st","DAFGÅRD, 560g"
"Kylda såser, dressingar","15,00
/st","GARANT, 200-220ml, 200-220g"
Maskindiskmedel,"59,00
/st","FINISH, 35-51pack"
Cambozola,"36,95
/st","WERNERSSON, 180g"
"Brie, Camembert","26,95
/st","PRÉSIDENT, 200-250g"
Wienerkorv,"20,00
/st","GARANT, 300g"
"Ballerina, Singoalla","15,00
/st","GÖTEBORGS, 190-210g"
Flytande honung,"39,95
/st","GARANT EKO, 350g"
Vetemjöl,"20,95
/st","KUNGSÖRNEN, 2kg"
Bars,2 för 35 kr,"BE-KIND, 40-50g"
Formpasta,2 för 30 kr,"ZETA, 400g"
Hots grillkorv,2 för 28 kr,"LITHELLS, 400g"
Gräddfil,2 för 22 kr,"GARANT, 3dl"
"Schampo, balsam",2 för 55 kr,"HEAD&SHOULDERS, 220-280ml"
Ahlgrens bilar,2 för 25 kr,"AHLGRENS BILAR, 130-160g"
Kaffe hela bönor,2 för 89 kr,"LÖFBERGS, 400g"
GULASCH FELIX,"39,95
/st","FELIX, 560g"
COUSCOUS,"27,95
/st","GARANT, 1000g"
SKALADE RÄKOR,"54,95
/st","GARANT, 505/200g"
EKO KÖTTBULLAR,"41,95
/st","SCAN, 400g"
GRILLKORV,"25,95
/st","GARANT, 400g"
EKO KAVIAR,"21,95
/st","GARANT, 190g"
VISPGRÄDDE 5DL,"28,95
/st","GARANT, 5dl"
OMEGA LAX,"109,00
/st","OMEGA, 4x125g"
FRIA TOAST,"31,50
/st","FRIA, 500g"
FRIA FORMBRÖD,"31,50
/st","FRIA, 500g"
FRIA GROVA FORMBRÖD,"31,50
/st","FRIA, 500g"
TRIUMF GLASS 2L,"44,95
/st","TRIUMF GLASS, 2l"
EKO TORSKFILÉ,"54,95
/st","GARANT, 400g"
GAR HÅRDOST,"99,00
/kg","GARANT, ca 700g"
EKO BANAN,"24,95
/kg",ca 170g
VEG FÄRS,"74,95
/st","ANAMMA, 850g"
TURKISK YOGHURT,"29,95
/st","SALAKIS, 1kg"
SMÖR & RAPS,"47,95
/st","GARANT, 600g"
TANDKRÄM,"26,50
/st","ZENDIUM, 75ml"
"ÖL 2,8%","26,95
/st","EMD BRÄU, 6p/50cl"
EKO TOFU,"29,95
/st","YIPIN, 400g"
HANDDISK,"16,95
/st","SÅKLART, 500ml"
EKO KNÄCKEBRÖD,"14,95
/st","GARANT EKO, 200g"
SOJA TAMARI,"44,95
/st","GARANT EKO, 250ml"
EKO RAPSOLJA,"44,95
/st","GARANT EKO, 1l"
EKO MAJS,"29,95
/st","GARANT EKO, 3p/150g"
FISKBULLAR,"21,95
/st","ABBA, 375g"
O´BOY,"29,95
/st","O'BOY, 700g"
EKO PESTO,"31,95
/st","GARANT EKO, 190g"
START NATURELL,"31,95
/st","START!, 750g"
EKO KOKOSOLJA,"69,95
/st","GARANT EKO, 500ml"
GAR PARMIGIANO,"64,95
/st","GARANT, 200g"
EKO YOGHURT,"17,95
/st","GARANT EKO, 1kg"
GAR MJÖLK,"16,95
/st","GARANT, 1l"
EKO NÖTFÄRS,"65,95
/st","GARANT EKO, 500g"
VEGANOST,"49,95
/st","VIOLIFE, 400g"
VEGETARISK PASTEJ,"18,95
/st","PASTEJKÖKET, 200g"
SÅKLART HANDDISKMEDEL,"17,50
/st","SÅKLART, 0,5l"
WCD RENGÖRING,"19,95
/st","WC DUCK, 750ml"
