Ryggfilé av Alaska pollock,"ROYAL, 300g","39,00/st"
Kaffe,"ARVID NORDQUIST, 500g",
Cocktailtomater,250g,"15,00/st"
Ketchup,"HEINZ, 450g","15,00/st"
Revben,"DALSJÖFORS, ca 1,1kg","54,95/kg"
"Tvättmedel, sköljmedel","A+, NOORA, 700g, 880-928ml","29,00/st"
Räkor med skal,"KALURI, 500g","49,00/st"
"Vego schnitzel, nuggets","GARANT, 200g","22,00/st"
Buljongtärningar,"GARANT EKO, 6-pack ger 3l färdig buljong",
Jordnötssmör,"GARANT EKO, 350g","30,00/st"
Svensk hårdost,"GARANT, ca 670g","99,00/kg"
"Mini babybel, Cheez Dippers","MINI BABYBEL, 120-175g",
Veckans toast,"PÅGEN, 800g","20,00/st"
Juice,"GARANT, 1l","22,00/st"
Handskalade räkor,"FALKENBERG, 540/280g","89,00/st"
Frysta ärter,"GARANT EKO, 450g","15,00/st"
Lasagne,"DAFGÅRDS, 1kg","45,00/st"
Stora odlade blåbär,"GARANT, 225g","12,00/st"
Croissant,"DAFGÅRDS, 55g","5,00/st"
Toalettpapper natur,"FIXA, 8-pack","29,00/st"
Svensk nötfärs,"GARANT, 800g","69,95/st"
Svensk gurka,300g,"10,00/st"
Svensk potatis,"GARANT, 900g","10,00/st"
Polarpärlan,"POLARBRÖD, 600g","29,95/st"
Bröd 4-pack,"GARANT, 200-320g","15,00/st"
Surdegsbröd,"FAZER, 350g","27,95/st"
Enportionsrätter,"GOOH!, 370-400g","59,00/st"
Cattia kattströ,"BEST FRIEND, 5l","47,95/st"
Maskindisktabletter,"SÅKLART, 30-pack","29,95/st"
Handdiskmedel,"YES, 450-520ml","31,00/st"
Fläckborttagning,"VANISH, 440-470g, 200-750ml","55,00/st"
"Schampo, balsam","HEAD & SHOULDERS, 220-280ml","29,95/st"
Deodorant,"DOVE, 50ml","30,00/st"
"Duschtvål, handtvål","DOVE, 225-500ml","22,95/st"
Färskost,"ARLA, 150g","16,95/st"
Tapas de España,"GARANT, 120g","35,00/st"
Svensk skivad skinka,JAKOBSDALS,"199,50/kg"
Svensk skivad kalkon,INGELSTA,"249,50/kg"
Svensk skinka,"GARANT EKO, 100g","25,00/st"
Proteinglass,"LOHILO, 0,35l","35,95/st"
Flerpacksglass,"GB GLACE, 3-6 pack","46,95/st"
Granola,"AXA, 475g","42,95/st"
Pastasås,"BARILLA, 400g","20,00/st"
Ris boil-in-bag,"BEN'S ORIGINAL, 4x125g","37,95/st"
Yoghurt 6-pack,"YOPLAIT, 6x125g","25,00/st"
Laktosfri mjölkdryck,"ARLA, 1,5l","19,95/st"
Tranbärsbröd,"BONJOUR, 350g","29,95/st"
Snabbkaffe,"NESCAFÉ GOLD, 150g","59,95/st"
Svensk högrev,"DALSJÖFORS, ca 800g","129,00/kg"
Svensk rostbiff,"DALSJÖFORS, ca 800g","129,00/kg"
Svensk blandfärs,"GARANT EKO, 500g","54,95/st"
Kycklingbröstfilé,"REKO, ca 500g","249,00/kg"
Koljafilé,"FALKENBERG, 400g","99,00/st"
Sushilax,"FALKENBERG, 180g","99,00/st"
Koljafilé,LERÖY,"199,00/kg"
Svenska tulpaner,,"49,95/st"
Svenskgrönkål,ca 200g,"15,00/st"
Apelsiner,ca: 270g,"25,00/kg"
Svensk purjolök,ca: 360g,"20,00/kg"
Passionsfrukt,ca50g,"5,00/st"
Choklad,"RITTER SPORT, 100g",
Kattmat,"SHEBA, 85g",
Läsk,"PREMIER, 1,5l",
Tångcaviar,"GARANT, 70g",
"Tandkräm, tandborste","PEPSODENT, 50-75ml, 1-pack",
Intimvård,"LIBRESSE, 9-50 pack, 200ml",
