"Svensk kycklingfilé, lårfilé","KRONFÅGEL, ca 925g","99,00/kg"
Satsumas,ca: 100g,"25,00/kg"
Cocktailkvisttomater,500g,"25,00/st"
Torskfilé,"FALKENBERG, 400g","99,00/st"
Tvättmedel,"VIA, 750g, 760ml","39,00/st"
Keso,"KESO, 500g","25,00/st"
Kryddkorvar,"GARANT, 240-300g","20,00/st"
Svarta vinbär,"GARANT EKO, 225g","15,00/st"
Flora,"FLORA, 2,5dl","10,00/st"
Gräddfil,"GARANT, 3dl","10,00/st"
Smaksatt crème fraiche,"ARLA, 2dl","12,00/st"
Proviva,"PROVIVA, 1l","25,00/st"
Juice,"INNOCENT, 750-900ml","25,00/st"
Hushållspapper,"FIXA, 4-pack","26,00/st"
"Bönor, linser, kikärtor","ZETA, 380/230g",
Flerpacksglass,"SIA GLASS, 5-6 pack","35,00/st"
Smörgåspålägg,"GARANT, 120g","10,00/st"
Rund & Sund,"ÖSTRAS, 1kg","22,00/st"
"Krispsallad, Mixsallad","LJUSGÅRDA, 60g","10,00/st"
Prästost,"WERNERSSONS, ca 750g","79,00/kg"
Nöt & Grönt,"GARANT, 500g","29,95/st"
Pepsi 6-pack,"PEPSI, 6x33cl","25,00/st"
Vetemjöl,"KUNGSÖRNEN, 2kg","20,00/st"
"Müsli, Granola","RISENTA, 375-450g","39,95/st"
Asiatiska kryddmixer,"SANTA MARIA, 30-40g","15,00/st"
Snacks,"OLW, 200-285g","26,95/st"
Chokladkakor,"TONY´S, 180g","34,95/st"
Torskryggfilé,"FINDUS, 420g","109,00/st"
Kylt vegetariskt,"QUORN, 100g","23,95/st"
Tofu,"YIPIN, 230-400g","26,95/st"
Smörgåspålägg,"JAKOBSDALS, 80-120g","27,95/st"
Leverpastej,"ARBOGA, LÖNNEBERGA, 150-200g","13,95/st"
Ekologisk falukorv,"GARANT EKO, 600g","46,95/st"
Hot dog pölser,"GØL, 375g","39,95/st"
Salami,"GRILSTAD, 80-100g","20,00/st"
"Tandkräm, tandborste","SENSODYNE, 75ml, 1-pack","22,95/st"
Ansiktsvård,"NEUTROGENA, 50-200ml","39,95/st"
Blöjor,"PAMPERS, 19-25 pack","69,00/st"
Räkbakelse,"FISKEXPORTEN, 280g","49,95/st"
Pajer,"FELIX, 210-220","29,95/st"
Tårta,"ALMONDY, 400-420g","49,95/st"
Lantbröd,"FAZER, 600g","27,95/st"
Kylda såser,"LOHMANDERS, 250ml","27,95/st"
Tortilla chips,"BANDEROS, 500g","23,95/st"
Svenska äpplen,1kg,"25,00/st"
Bakpotatis,ca375g,"10,00/st"
Fikon,ca50g,"5,00/st"
Jordgubbar,400g,"59,95/st"
Superrosor,9-pack,"79,95/st"
Månadens bukett,,"99,00/st"
Hel butternutpumpa,ca: 1.2kg,"20,00/kg"
Färsk torskfilé,"LERÖY, ca: 300g","229,00/kg"
Svensk kalvstek,"SCAN, ca 1kg","159,00/kg"
Färska kycklingklubbor,"GARANT, ca 900g","49,95/kg"
Svensk oxfilé,"DALSJÖFORS, ca 500g","399,00/kg"
Svensk fläskkarré,"SCAN, ca 1,1kg","79,95/kg"
Hushållsost,"ARLA, ca 1,1-2,2kg","94,00/kg"
Grillad kycklingbröstfilé,"GULDFÅGELN, råvikt ca 125g","20,00/st"
Levainrost,"GARANT, 430g","20,00/st"
Ikaffe,"OATLY, 1l","17,95/st"
Yoggi,"YOGGI, 1kg","21,95/st"
Tortilla 8-pack,"BANDEROS, 320g","12,95/st"
Bacon,"SCAN, 140g",
Kokosmjölk,"SANTA MARIA, 250ml",
"Schampo, balsam","GLISS, 200-250ml",
Chokladbitar,"CLOETTA, 50-60g",
Min Frukt,"NESTLÉ, 90g",
Barnmat,"SEMPER, 120g",
