Vaniljhjärtan,"6,00/st","DAFGÅRDS, 57g"
Färsk laxfilé,"149,00/kg","FALKENBERG, ca 1,4kg"
Smör,"39,95/st","ARLA, 500g"
Kycklingbröstfilé,,"ELDORADO, 900g"
Toalettpapper 8-pack,"29,00/st","FIXA, 8p"
Satsumas,"25,00/kg",ca: 100g
Toast,"20,00/st","PÅGEN, 680g"
"Lingongrova, Guldkorn, Meratoast","20,00/st","PÅGEN, 500-680g"
Babyplommontomater,"20,00/st",250g
Handskalade räkor,"89,00/st","FALKENBERG, 540/280g"
Crème fraiche,"12,00/st","ARLA KÖKET, 2dl"
Fryst pizza,"35,00/st","TONY'S, 400-500g"
Tårta,"49,00/st","FRÖDINGE, 480g eller 400-500g"
Fiskfria pinnar,"35,00/st","GARANT, 352g"
Gårdsgoda,"20,00/st","VALIO, 250g"
Levain,"28,00/st","SÖDERVIDINGE, 750g"
Ishavsräkor,,"GARANT, 300g"
"Tvättmedel, Sköljmedel",,"A+, NOORA, 700g, 880-928ml"
Pepsi 6-pack,"30,00/st","PEPSI, 6x33cl"
Svensk hårdost,"99,00/kg","GARANT, ca 670g"
Tamponger,"25,00/st","O.B, 16-pack"
Polly,"23,95/st","COLETTA, 150-200g"
Enportionsrätter,"36,95/st","DAFGÅRDS, 350-420g"
"Duschtvål, deodorant","21,95/st","NIVEA, 50-250ml"
Torkad mango,"25,00/st","GARANT EKO, 75g"
Ekologiska ärter,"15,95/st","GARANT EKO, 450g"
"Brioche mini, bagels","27,95/st","GARANT, 200-300g"
Flerpacksglass,"46,95/st","GB GLACE, MAGNUM, 3-6 pack"
Färsk Koljafilé,"199,00/kg",LERÖY
Munskölj,"39,95/st","LISTERINE, 500ml"
Lindt Excellence,"27,95/st","LINDT, 100g"
Pulled pork,"54,95/st","GARANT, 550g"
Leverpastej,"12,95/st","LÖNNEBERGA, ARBOGA, 150-200g"
Ekologisk lövbiff,"199,00/kg","GARANT EKO, ca 500g"
Svensk lammfärs,"84,95/st","SMAK AV GOTLAND, 500g"
Svensk blandfärs,"69,95/st","GARANT, 800g"
"Grillkorv, Chorizo","29,95/st","LINDVALLS, 270g"
Ekologisk fläskytterfilé,"149,00/kg","GARANT EKO, ca 800g"
Kvarg,"8,95/st","LINDAHLS, 150g"
Surdegsbröd,"25,00/st","LA LORRAINE, 450g"
Zucchini,"10,00/st",ca 360g
Svenska rödbetor,"10,00/st",1kg
Koljafilé,"99,00/st","FALKENBERG, 400g"
Svenska päron,"25,00/st",1kg
Persimon,"5,00/st",170g
Rosor,"79,95/st",
Våtservetter,"27,95/st","WATERWIPES, 60-pack"
Smörgåspålägg,"29,95/st","PÄRSONS, 200g"
Dumplings,"10,00/st","VICI, 200g"
Gurka,"10,00/st",280g
Granatäpple,"10,00/st",289g
Helgbukett,"119,00/st",
Chokladask,"49,95/st","ANTHON BERG, 200g"
Vegofärs,"34,95/st","ANAMMA, 450g"
Bacon,,"GARANT, 140g"
Energidryck,,"RED BULL, 25cl"
"Proteinbar, Proteinshake",,"BAREBELLS, 55g, 330ml"
Salami,,"GØL, 80g"
Smoothie,,"SEMPER, 90g"
Mozzarella,,"GALBANI, 100-125g"
Barnvård,,"NATUSAN, 110g, 300ml"
Barnmat,,"HIPP, 190- 250g"
Svenska morötter,"6,00/kg",ca150g
