Lussekatter,"6,00/st","BONJOUR, DAFGÅRDS, 60-70g"
Färsk laxfilé,"159,00/kg","FALKENBERG, ca 1,4kg"
Smör,"39,95/st","VALIO, 500g"
"Basilika, koriander, timjan","12,00/st","GARANT, ca100g"
"Toalettpapper, hushållspapper","35,00/st","LAMBI, 4-8 pack"
Saffran,"10,00/st","GARANT, 0,5g"
Granola,"39,95/st","PAULÚNS, 430-450g"
Fläskytterfilé,"69,95/kg","DALSJÖFORS, ca 900g"
Gurka,"10,00/st",280g
Sötpotatis,"15,00/kg",ca: 360g
Chokladask guld,"89,00/st","ANTHON BERG, 400g"
Yoghurt,"15,00/st","ARLA, 1kg"
Frysta blåbär,"15,00/st","GARANT, 225g"
Kronljus,"99,00/st","FIXA, 30-pack"
Jordnötssmör,"30,00/st","GARANT EKO, 350g"
Blockljus,"22,00/st","FIXA, 12cm"
Frysta pajer,"30,00/st","FELIX, 210-220g"
"Bönor, kikärter",,"GARANT EKO, 380/230g"
Julmust 4-pack,"39,00/st","APOTEKARNES, 4x1,4l"
"Schampo, balsam",,"HEAD & SHOULDERS, 220-280ml"
Svensk kassler,"79,95/kg","GARANT, ca 600g"
Svenska äpplen,"25,00/st",1kg
Ekologisk citron,"5,00/st","GARANT EKO, ca140g"
Morötter,"10,00/st","GARANT, 1kg"
Hyacint 3-plant,"39,95/st",
Amaryllisbukett,"59,95/st",
Tonfisk,"69,95/st","LERÖY, 230g"
Barnens grillkorv,"25,00/st","LITHELLS, 400g"
Grillade kycklingklubbor 2-pack,"35,00/st","KRONFÅGEL, ca 560g"
Svensk kycklingbröstfilé,"249,00/kg","REKO, ca 500g"
Nötfärs,"59,95/st","SMAK AV GOTLAND, 500g"
Svensk lammfärs,"84,95/st","SMAK AV GOTLAND, 500g"
"Milda Culinesse, Mat & Bak","20,00/st","MILDA, 500ml"
"Salladsmix, småbladsmix","20,00/st","GARANT EKO, 150-175g"
Räkbakelse,"49,95/st","FISKEXPORTEN, 280g"
"Färsk tortellini, ravioli","39,95/st","RANA, 250g"
Kladdkaka,"26,95/st","FRÖDINGE, 400g"
"Coca-Cola, Fanta 6-pack","39,95/st","COCA-COLA ZERO, 6x33cl"
"Rågform, Rågkusar","25,95/st","FAZER, 338-400g"
Levainrost,"20,00/st","GARANT, 430g"
Knäckebröd,"20,00/st","PYRAMID, 135g"
Hönökaka,"25,95/st","PÅGEN, 450g"
Värmeljus,"39,95/st","FIXA, 50-pack"
Parmigiano Reggiano,"55,00/st","GARANT, 200g"
Riven ost,"20,00/st","GARANT, 150g"
Mild hårdost,"99,00/kg","ARLA, ca 670g"
Comté,"299,50/kg","FALBYGDENS, ca 180g"
Comté,"299,50/kg",ALBAGNAC
"Deodorant, duschcreme, tvål","16,95/st","PALMOLIVE, 50-300ml"
"Tandkräm, tandborste","23,00/st","SENSODYNE, 75ml"
"Dagkräm, nattkräm Q10","79,00/st","NIVEA, 200ml,"
Doggy hundmat,"59,95/st","DOGGY, 2kg"
Enportionsrätter,"27,95/st","DAFGÅRDS, 390-420g"
Julkyckling,"39,95/st","GARANT, 250g"
Smörgåspålägg,"27,95/st","JAKOBSDALS, 80-120g"
Falukorv,"35,00/st","SCAN, 800g"
Salami,"21,95/st","GRILSTAD, 80-100g"
Sirap,"18,95/st","GARANT, 750g"
Vetemjöl,"20,00/st","KUNGSÖRNEN, 2kg"
Mandelmassa,"37,95/st","GARANT, 400g"
Kakao,"27,95/st","GARANT, 250g"
Bakchoklad,"18,95/st","GARANT, 200g"
Nutella,"28,95/st","NUTELLA, 350g"
Russin,"28,95/st","SUN MAID, 250g"
Glass,"34,95/st","GB GLACE, 0,75l"
Svensk kycklingsteak,"79,95/kg","KRONFÅGEL, ca 850-900g"
Clementiner,"29,95/kg",ca: 120g
Tonfiskloin,"299,00/kg",LERÖY
Snabbnudlar,,"BLUE GARDEN, 85g"
Wettex,,"WETTEX, 4-pack"
Intimhygien,,"LIBRESSE, 9-50 pack, 200ml"
"Min frukt, Astro-Smoothie",,"NESTLÉ, 90-150g"
Gröt,,"SEMPER, 120g"
