Färsk fylld pasta,"15,00/st","GARANT, 250g"
Fryst kycklinginnerfilé,"59,00/st","GARANT, 700g"
Vetemjöl,"15,00/st","GARANT, 2kg"
"Gravad, kallrökt lax","39,95/st","FALKENBERG, 150g"
"Krispsallad, Mixsallad","10,00/st","LJUSGÅRDA, 60gr"
Skivad julskinka,"15,00/st","GARANT, 110g"
Grillad hel kyckling,"59,95/st","KRONFÅGEL, råvikt ca 0,935-1,22kg,"
Vörtbröd,"20,00/st","ÖSTRAS BRÖD, 700g"
Hyacint,"10,00/st",
Broccoli,"12,00/st",ca 250g
Mild hårdost,"89,00/kg","GARANT, ca 670-730g"
Brioche hamburgerbröd,"20,00/st","GARANT, 200-250g"
Läsk 10-pack,"45,00/st","PEPSI, 10x33cl"
Julmust,"10,00/st","PREMIER, 1,5l"
Kylda såser,"10,00/st","GARANT, 200-220ml"
Formpasta,,"BARILLA, 500g"
Rapsolja,"30,00/st","ZETA, 900ml"
Torskryggfilé,"99,00/st","FINDUS, 420g"
"Juice, Lemonad","35,00/st","BRÄMHULTS, 850ml"
Kokt julskinka,"49,95/kg","GARANT, ca 2-3kg"
"Vegoschnitzel, Vegonuggets","22,00/st","GARANT, 200g"
Prosciutto Crudo,"29,95/st","GARANT, 80g"
Skivad julskinka,"34,95/st","SCAN, 130g"
Röd caviarmix,"22,95/st","GARANT, 75g"
Ketchup,"31,95/st","HEINZ, 0,96-1kg"
Ekologiskt te,"29,95/st","PUKKA HERBS, 20-pack"
Maskindisktabletter,"79,00/st","YES, 48"
Sköljmedel,"26,95/st","SOFTLAN, 0,65-1l"
Tandkräm,"20,00/st","ORAL-B, 75ml"
Duschtvål,"20,00/st","FAMILY FRESH, 500ml"
"Babybel Mini Original,","26,95/st","BABYBEL, 120g"
Cheez dippers,"26,95/st","SKRATTANDE KON, 175g"
Färskost,"16,95/st","ELDORADO, 200g"
Skivad ost,"25,00/st","GARANT, 150g"
Mjukost,"32,95/st","KAVLI, 175g"
Drickyoghurt 4-pack,"20,00/st","ACTIMEL, 4x100g"
Ingefärashot,"29,95/st","GARANT, 500ml"
"Flora, Becel","29,95/st","BECEL, 550-600g"
Frysta kycklingdelar,"37,95/st","GULDFÅGELN, 350-500g"
Russin,"26,95/st","SALTÅ KVARN, 250g"
Buljongtärningar,"11,95/st","KNORR, 6-pack ger 3l färdig buljong"
Snabbkaffe,"59,95/st","NESCAFÉ, 150g"
Fröknäcke,"28,95/st","SIGDAL, 190-220g"
Rostbröd,"15,00/st","GARANT, 450g"
Enportionsrätter,"59,00/st","GOOH, 370-400g"
Glögg,"20,00/st","SATURNUS, 75cl"
Bröd 4-pack,"15,00/st","GARANT, 200-320g"
Energidryck,"12,00/st","MONSTER, REIGN, 50cl"
Gårdsmajskyckling,"99,00/kg","TRADIFOOD, ca 1,5kg"
Svensk fläskkarré,"79,95/kg","SCAN, ca 1,1kg"
Svensk majskycklingbröstfilé,"149,00/kg","GARANT, ca 750g"
majskycklingbröstfilé,"129,00/kg","DALSJÖFORS, ca 800g"
Sushilax,"99,00/st","FALKENBERG, 180g"
Grenad julstjärna,"49,95/st",
Hel vitkål,"10,00/kg",ca: 2kg
Babyplommontomater,"34,95/st",500g
Grön kiwi,"5,00/st",ca100g
Apelsin,"25,00/kg",ca: 270g
Granatäpple,"10,00/st",289g
Svensk potatis,"15,00/st","GARANT, 900g"
Vitlök Morado,"5,00/st",60g
Naturell kesella,"12,95/st","ARLA, 250g"
Fryst vegetariskt,"29,95/st","QUORN, 300-312g"
Pepparkakor,"18,95/st","ANNAS, 300g"
"Lussekatter, Saffransklipp","27,95/st","SKOGAHOLM, 240-250g"
Soppa,,"KELDA, 5dl"
"Bindor, Trosskydd",,"ALWAYS, 9-30 pack"
Rödbetssallad,,"RYDBERGS, 200g"
