Läsk,"5,00/st","TROCA,CUBA,CHAMPIS, 33cl"
Smör,"39,95/st","ARLA, 500g"
"Svensk kycklingbröstfilé, lårfilé","99,00/kg","GARANT, ca 850g"
Prästost,"79,00/kg","WERNERSSONS, ca 750g"
Lussekatter,"6,00/st","BONJOUR, 60-70g"
Jubileumsbröd,"22,00/st","ÖSTRAS BRÖD, 1kg"
Prinskorv,"15,00/st","GARANT, 240g"
Citroner,"10,00/st",500g
"Coca-Cola, Fanta, Sprite",,"COCA-COLA ZERO, 1,5l"
Ekologisk tofu,"20,00/st","GARANT EKO, 400g"
Gårdschips,,"GÅRDSCHIPS, 150g"
"Wienernougat, Geisha","49,00/st","FAZER, 185-210g,"
Fryst mango,"25,00/st","ELDORADO, 500g"
"Pommes strips, frites","18,00/st","GARANT, 0,6-1kg"
Hushållspapper 4-pack,"30,00/st","FIXA, 4p"
Ädelost,"25,00/st","CASTELLO, KVIBILLE, 125-170/g"
Turkisk yoghurt,"15,00/st","GARANT, 5dl"
Laxfilé,"79,00/st","MAJ BRITTS, 375g"
Kakao,"22,95/st","GARANT EKO, 125g"
"Lapin Kulta 6-pack 3,5%","69,95/st","LAPIN KULTA, 6x50cl"
Maskindisktabletter,"69,95/st","FINISH, 48-48 pack"
Lättdryck,"6,95/st","BOB, 2dl ger 1l färdig dryck"
Svensk blandfärs,"54,95/st","GARANT EKO, 500g"
Sv fläskkotletter,"89,00/kg","GARANT, ca 1,1kg"
Gr kycklinglår,"20,00/st","GULDFÅGELN, råvikt ca 340g"
Lyxamaryllis,"129,00/st",
Svenska tulpaner,"49,95/st",
Svensk fast potatis,"10,00/st","GARANT, 900g"
Romansallad,"15,00/st",200g
Röd spetspaprika,"20,00/st",200g
Svenska äpplen,"25,00/kg",ca: 180g
Apelsiner i nät,"25,00/st",1kg
Clementiner i korg,"34,95/st",900g
Levainbröd,"29,95/st","DAFGÅRD, 600g"
Mörkt fröbröd,"22,95/st","GARANT, 500g"
"Gott Gräddat, Tranbärslycka","21,95/st","PÅGEN, 480-550g"
Lantbröd,"27,95/st","FAZER, 600g"
Croissanter,"32,95/st","GARANT, 330g"
Enportionsrätter,"32,95/st","FINDUS, 340-400g"
Frysta pajer,"25,95/st","GARANT, 220g"
Fryst vegetariskt,"35,00/st","ANAMMA, 300-450g"
Toalettrengöring,"20,00/st","WC DUCK, 55-750ml"
Tvättkapslar,"53,95/st","VIA, 14-pack"
Gräddost,"44,95/st","WERNERSSON, 400g"
Griljerad julskinka,"189,50/kg","JAKOBSDALS, ca: 150g"
Skivat kalkonbröst,"249,50/kg",INGELSTA
Hots grillkorv,"16,95/st","LITHELLS, 400g"
Russin,"38,95/st","GARANT, 500g"
Sirap,"17,95/st","DANSUKKER, 750g"
Flytande honung,"39,95/st","GARANT EKO, 350g"
Svensk kycklingfilé,"109,00/st","KRONFÅGEL, 1kg"
Torskfilé,"79,00/st","FINDUS, 375g"
Grillkorv,"42,95/st","SCAN, 400-640g"
Skinka,"15,00/st","SVEA, 100g"
Kokt julskinka,"89,00/kg","SCAN, ca 1,8-4,2kg"
Flora,"10,00/st","FLORA, 2,5dl"
"Risifrutti, Mannafrutti",,"RISIFRUTTI, 165-175g"
Bakchoklad,,"GARANT, 100g"
"Tandborste, tandkräm, tandtråd",,"JORDAN, 1-pack, 50-75ml, 25m"
Chokladaskar,,"FAZER, 185-300g"
