Gräddglass,"24
90
/st ","SIA GLASS 
1,5L"
Kaffe,"34
90
/st ","FLERA OLIKA SORTER 
450G • 500G"
"Chips, snacks, jordnötter","3 FÖR 40
00 ","ESTRELLA 
110-275G"
Fläskytterfilé,"59
90
/kg ","NYBERGS DELI 
CA 1KG"
Ekologisk minivattenmelon,"14
90
/kg ","SPANIEN 
I LÖSVIKT"
Färskpotatis,"2
90
/kg ","SVERIGE 
I LÖSVIKT"
Blåbär,"29
90
/st ","SERBIEN, PORTUGAL, RUMÄNIEN 
300G"
Glass mixbox,"64
90
/st ","DAZZLEY 
20P"
Fuet,"24
90
/st ","GARANT 
170G"
Prinskorv,"14
90
/st ","GARANT 
240G"
Vispgrädde,"20
90
/st ","GARANT 
5DL"
Juice,"25
90
/st +pant ","BRÄMHULTS 
850ML"
Turkisk yoghurt,"22
90
/st ","ARLA KÖKET 
1KG"
"Kylda såser, röror","11
90
/st ","GARANT 
200-220ML • 220G"
Läsk,"2 FÖR 26
00
+pant ","COCA-COLA • FANTA • SPRITE 
1,5L"
Noblesse,"24
90
/st ","MARABOU 
150G"
Färsk kycklingbröstfilé,"119
00
/kg ","GARANT 
CA 850G"
Sallad,"14
90
/st ","GARANT 
125-150G"
Gurka,"7
90
/st ","SVERIGE 
STYCK"
Tomater,"22
90
/kg ","SVERIGE 
I LÖSVIKT"
Rädisor i knippe,"9
90
/st ","NEDERLÄNDERNA 
STYCK"
Kycklingnuggets,"59
90
/st ","KRONFÅGEL 
440G"
Skalade räkor,"49
90
/st ","OMEGA 
400G"
Små delikatessköttbullar,"49
90
/st ","FELIX 
600G"
Cognacmedwurst,"26
90
/st ","GARANT 
350G"
Ölkorvar,"2 FÖR 28
00 ","RIDDERHEIMS 
50G"
Köttbullar,"15
90
/st ","GARANT 
350G"
Skivat smörgåspålägg,"23
90
/st ","LÖNNEBERGA 
120G"
Bavaria blu,"37
90
/st ","BERGADER 
350G"
Dessertost,"24
90
/st ","KVIBILLE • CASTELLO 
140G • 150G"
Kolibrie,"37
90
/st ","KOLIBRIE 
500G"
Färskost,"19
90
/st ","PHILADELPHIA 
300G"
Mjukost,"34
90
/st ","KAVLI 
275G"
Västerbottensost,"72
90
/st ","VÄSTERBOTTENS 
450G"
"Halloumi, grilloumi","24
90
/st ","FONTANA 
200G"
Grana padano,"42
90
/st ","GARANT 
200G"
Feta,"19
90
/st ","FONTANA 
150G"
Räkor,"45
90
/st ","GARANT 
200G"
Inläggningssill,"2 FÖR 34
00 ","ELDORADO 
420/210G"
Matjessill,"2 FÖR 28
00 ","GARANT 
200/125G"
"Kallrökt lax, gravad lax","64
90
/st ","FALKENBERG 
300G"
Sill i småglas,"3 FÖR 2 39
80 ","ABBA 
220/110-240/120G"
Majskorn,"18
90
/st ","BONDUELLE 
3P • 420G"
