Energidryck,49 90 /st +pant ,RED BULL  6X25CL
Fläskytterfilé,59 90 /kg ,DALSJÖFORS  CA 700G
Glass mixbox,59 90 /st ,DAZZLEY  20P
"Vetekaka, rågkaka",19 90 /st ,GARANT  900G • 24P • 30P
Levainbröd,24 90 /st ,DAFGÅRD  600G
Kycklingfilé,59 90 /st ,ELDORADO  800G
Fuet,24 90 /st ,GARANT  170G
Grillkorv,14 90 /st ,LITHELLS  400G
"Originalrost, fiberrost",23 90 /st ,SKOGAHOLM  1KG
Fraîche,2 FÖR 15 00 ,YOPLAIT  2DL
Valnötter,49 90 /st ,ELDORADO  400G
Karré,64 90 /kg ,DALSJÖFORS  CA 800G
Gurka,9 90 /st ,SVERIGE  STYCK
Tomater,24 90 /kg ,SVERIGE  I LÖSVIKT
Citroner,3 FÖR 15 00 ,"ARGENTINA, SYDAFRIKA, COLOMBIA  STYCK"
Nektariner i korg,19 90 /st ,"ITALIEN, SPANIEN, TURKIET  1KG"
Zucchini,9 90 /st ,SVERIGE  STYCK
Kycklingpanna,49 90 /st ,"KRONFÅGEL  1,1KG"
Gräddglass,34 90 /st ,TRIUMF GLASS  2L
Ölkorv,27 90 /st ,PRIME PATROL  3X40G
Salamisnacks,2 FÖR 44 00 ,GØL  70-90G
Halloumiost,25 90 /st ,FONTANA  200G
"Präst®, Herrgård ®",45 90 /st ,ARLA KO  300G
Mini babybel,21 90 /st ,BABYBEL  120G
Hushållsost,72 90 /kg ,"ARLA  CA 1,1KG"
Blåmögelost,24 90 /st ,SAINT AGUR  115G
Mjukost,29 90 /st ,FJÄLLBRYNT  250G
Fetaost,2 FÖR 25 00 ,TAVERNA  100G
Hamburgerost,2 FÖR 35 00 ,ELDORADO  200G
Kaffekapslar,2 FÖR 89 00 ,TASSIMO • SENSEO  8-36P
Senap,17 90 /st ,JOHNNY'S  500G
Hamburgerdressing,17 90 /st ,KAVLI  230G
Makrillfiléer,36 90 /st ,ELDORADO  3P/125G
Proteinbar,3 FÖR 28 00 ,POWERKING  40G
Finkrossade tomater,20 90 /st ,GARANT  3P/390G
"Choko flakes, cornflakes",19 90 /st ,ELDORADO • GARANT  375G • 500G
Tortillabröd,19 90 /st ,SANTA MARIA  6P/371G
Salsa,17 90 /st ,SANTA MARIA  230G
"Basmatiris, jasminris, bulgur",17 90 /st ,ZEINAS  250G
Spaghetti,11 90 /st ,MONTE CASTELLO  1KG
Oreo cookies,19 90 /st ,OREO  154G • 157G
Kanelbullar,27 90 /st ,SKOGAHOLM  450G • 10P
Hamburgerbröd,19 90 /st ,GARANT  200G • 300G
"Lättdryck, iste, multivitamindryck",4 FÖR 20 00 ,KIVIKS MUSTERI  2DL/1L
Yoghurt,18 90 /st ,VALIO  1000G
Laktosfri yoghurt,22 90 /st ,VALIO  1000G
"Iskaffe, iskakao",14 90 /st ,GEIA FOOD  1L
Vaniljyoghurt,14 90 /st ,GARANT  1000G
Ekologiska ägg,34 90 /st ,GARANT EKO  10P
Kaffedryck,19 90 /st ,STARBUCKS  220ML
Bregott,42 90 /st ,BREGOTT  600G
Frukt och bärdryck,2 FÖR 24 00 ,"PREMIER  1,5L"
Ekologisk havredryck,2 FÖR 30 00 ,GARANT EKO  1L
Pannkakor,21 90 /st ,GARANT  400G
Pizzakit,21 90 /st ,MONTE CASTELLO  600G
Våtservetter,14 90 /st ,MINSTINGEN  63P
Smoothie,5 FÖR 45 00 ,SEMPER  90G
"Duschcreme, flytande tvål, roll-on",15 00 /st ,PALMOLIVE  50-300ML
Hård tvål,15 00 /st ,PALMOLIVE  4X90G
"Tandborste maxwhite, tandkräm",2 FÖR 25 00 ,COLGATE  1P • 125ML
"Duschcreme, duschgel, tvål",2 FÖR 26 00 ,BARNÄNGEN  250ML
"Tvättmedel, sköljmedel",24 90 /st ,"VIA • COMFORT  750G • 750-1,008ML"
Kolsyrat vatten,2 FÖR 16 00 +pant ,"RAMLÖSA  1,5L"
Kolsyrat vatten,18 90 /st +pant ,PREMIER  6P/50CL
Läsk,2 FÖR 25 00 +pant ,"PEPSI • ZINGO • 7UP  1,5L"
Salta jordnötter,18 90 /st ,ESTRELLA  275G
Chips,2 FÖR 40 00 ,PRINGLES  200G
"Valnötter, sötmandel, hasselnötter, nötmix, cashew",3 FÖR 69 00 ,GARANT  110-160G
Doritos,2 FÖR 40 00 ,DORITOS  170G
"Chips, ostsnacks",24 90 /st ,OLW  150-275G
Chokladkaka,19 90 /st ,LINDT  100G
Marshmallows,2 FÖR 25 00 ,DAZZLEY  250G
Kina snacks,2 FÖR 35 00 ,FAZER  170-200G
Godispåsar,2 FÖR 24 00 ,HARIBO  120G • 170G
Calandiva,24 90 /st ,BLOMMOR  STYCK
Fryspåse,2 FÖR 32 00 ,FIXA  30-70P
Diskduk,2 FÖR 32 00 ,WETTEX  4P
Vegobacon,18 90 /st ,ELDORADO  120G
Vegoskivor,21 90 /st ,PÄRSONS  100G
