Fläskytterfilé,64 90 /kg ,NYBERGS DELI CA 1KG
Läsk,2 FÖR 10 00 +pant ,COCA-COLA • FANTA • SPRITE 33CL
Ekologiska morötter,9 90 /st ,SVERIGE 1KG
Naturella cashewnötter,49 90 /st ,ELDORADO 400G
Lantbröd,26 90 /st ,FAZER 600G
Brioche hamburgerbröd 4-pack,2 FÖR 32 00 ,GARANT 200-250G
Juice,23 90 /st +pant ,INNOCENT 750ML • 900ML
Hoppy lager,4 FÖR 30 00 ,CARLSBERG 33CL
Färsk kycklingfilé,119 00 /kg ,KRONFÅGEL CA 925G
Gröna vindruvor,27 90 /st ,"SPANIEN, GREKLAND, ITALIEN 500G"
Grönkål,14 90 /st ,SVERIGE 200G
Ekologiska rödbetor,11 90 /st ,SVERIGE 600G
Äpple Aroma,19 90 /kg ,SVERIGE I LÖSVIKT
Spenat,14 90 /st ,SVERIGE 250G
Kycklingbröstfilé,79 90 /st ,GARANT 1KG
Falukorv,34 90 /st ,SCAN 800G
Isterband,24 90 /st ,CHARKDELIKATES 330G
Blodpudding,2 FÖR 17 00 ,GEAS 500G
Kassler,69 90 /kg ,FÅDDMAN CA 750G
Bavaria blu,22 90 /st ,BERGADER 150G
Skivad ost,24 90 /st ,FRISCHGOLD 200G
Mayonnaise,28 90 /st ,HELLMANN'S 250ML
Choko flakes,24 90 /st ,ELDORADO 375G
Skivad ananas,17 90 /st ,DOLE 227/139G
Kryddor i små glasburkar,2 FÖR 30 00 ,KOCKENS 7G-56G
Tortillabröd,17 90 /st ,GARANT 6P • 370G
Tonfisk 3-pack,53 90 /st ,GARANT 3X170G
Lightdryck,23 90 /st +pant ,FUN LIGHT 1L/10L
Granola hasselnötter & dadlar,44 90 /st ,PAULÚNS 450G
Jubileumskakor,22 90 /st ,POLARBRÖD 450G
Yoghurt,22 90 /st ,VALIO 1KG
Milkshake,2 FÖR 35 00 ,NJIE 330ML
Ekologisk naturell yoghurt,14 90 /st ,GARANT EKO 1KG
Bregott,49 90 /st ,BREGOTT 600G
Barista havredryck,2 FÖR 34 00 ,VALIO 1L
Fruktklämmisar,5 FÖR 50 00 ,NESTLÉ 90G
Havregröt,44 90 /st ,NESTLÉ 480G
Energidryck,15 00 /st +pant ,NOCCO 33CL
"Chips, ostsnacks",19 90 /st ,OLW 225-275G
Mikropopcorn,2 FÖR 30 00 ,GARANT 3X90G
Salta pinnar,14 90 /st ,GARANT 250G
Chokladkaka,24 90 /st ,LINDT 100G
Choklad stycksaker,3 FÖR 18 00 ,"SNICKERS 36,5G-57G"
Tulpaner 7-pack,49 90 /st ,BLOMMOR STYCK
Ljungplantering,99 00 /st ,BLOMMOR STYCK
Knoppljung,2 FÖR 50 00 ,BLOMMOR STYCK
Batteri,36 90 /st ,VARTA 1P • 4P
Plastfolie,19 90 /st ,TOPPITS 50M
Diskduk,2 FÖR 35 00 ,WETTEX 4P
