Familjefavoriter,69 90 /kg ,"ARLA CA 750G-1,2KG"
Kanelbulle,4 FÖR 20 00 ,BONJOUR 90G
"Färsk kycklingbröstfilé, kycklinglårfilé",89 90 /st ,ELDORADO 900G
Hönökaka 4-pack,19 90 /st ,PÅGEN 450G
Skivat smörgåspålägg,2 FÖR 22 00 ,PRIME PATROL 100G
Rimmad fläsklägg,34 90 /kg ,"MOAB CA 1,5KG"
Morötter,5 90 /st ,SVERIGE 1KG
Färsk tortelloni,2 FÖR 40 00 ,GARANT 250G
Läsk 6-pack,26 90 /st +pant ,PEPSI 33CL
Valnötter,49 90 /st ,ELDORADO 400G
Gul lök,9 90 /kg ,SVERIGE I LÖSVIKT
Ekologisk polkabeta,14 90 /st ,SVERIGE 600G
Majskolv,2 FÖR 16 00 ,SVERIGE STYCK
Satsumas,19 90 /kg ,SPANIEN I LÖSVIKT
Isterband,24 90 /st ,CHARKDELIKATES 330G
Blodpudding,2 FÖR 17 00 ,GEAS 500G
Skivat bacon,2 FÖR 22 00 ,SCAN 140G
Bavaria blu,22 90 /st ,BERGADER 150G
Skivad ost,24 90 /st ,FRISCHGOLD 200G
Parmigiano reggiano,21 90 /st ,GARANT 85G
Mozzarella,2 FÖR 30 00 ,GRANAROLO 125G
Mayonnaise,28 90 /st ,HELLMANN'S 250ML
Choko flakes,24 90 /st ,ELDORADO 375G
Skivad ananas,17 90 /st ,DOLE 227/139G
Kryddor i små glasburkar,2 FÖR 30 00 ,KOCKENS 7G-56G
Tortillabröd,17 90 /st ,GARANT 6P • 370G
Äggnudlar,11 90 /st ,SANTA MARIA 200G
Pesto,26 90 /st ,GARANT 200G
Yoghurt,22 90 /st ,VALIO 1KG
Milkshake,2 FÖR 35 00 ,NJIE 330ML
Vispgrädde,27 90 /st ,SKÅNEMEJERIER 5DL
Crème fraiche,26 90 /st ,GARANT 5DL
Smör,49 90 /st ,SVENSKT SMÖR 500G
Fruktklämmisar,5 FÖR 50 00 ,NESTLÉ 90G
Havregröt,44 90 /st ,NESTLÉ 480G
Energidryck,15 00 /st +pant ,NOCCO 33CL
Chips,29 90 /st ,PRINGLES 200G
Chokladkaka,24 90 /st ,LINDT 100G
Choklad stycksaker,3 FÖR 18 00 ,"SNICKERS 36,5G-57G"
Calandiva,29 90 /st ,BLOMMOR STYCK
Rosbukett med liljor,49 90 /st ,BLOMMOR STYCK
Batteri,36 90 /st ,VARTA 1P • 4P
Plastfolie,19 90 /st ,TOPPITS 50M
Diskduk,2 FÖR 35 00 ,WETTEX 4P
