"Läsk, julmust",3 FÖR 33 00 +pant ,"FLERA OLIKA SORTER 1,4L • 1,5L"
Jubileumskaka,17 90 /st ,POLARBRÖD 400G
Kycklingfilé,49 90 /st ,ELDORADO 900G
Grekiskt lantbröd,24 90 /st ,DAFGÅRD 560G
Skogaholmslimpa,23 90 /st ,SKOGAHOLM 775G
Dagens enportionsrätter,4 FÖR 99 00 ,FINDUS 340-400G
Turkisk yoghurt,15 90 /st ,GARANT 5DL
Kylda såser,2 FÖR 30 00 ,GARANT 200-250ML • 220G
Kycklingfärs,39 90 /st ,GARANT 500G
Blandfärs,39 90 /st ,GARANT 500G
Paprikamix,19 90 /st ,NEDERLÄNDERNA 400G
Svenska äpplen,16 90 /kg ,SVERIGE I LÖSVIKT
Brysselkål,14 90 /st ,NEDERLÄNDERNA 400G
Rödbetor,4 90 /kg ,SVERIGE I LÖSVIKT
Champinjoner,14 90 /st ,"POLEN, LITAUEN 250G"
Gräddglass,2 FÖR 30 00 ,"SIA GLASS 0,5L"
Isterband,24 90 /st ,CHARKDELIKATES 330G
Isterband,24 90 /st ,CHARKDELIKATES 330G
Blodpudding,2 FÖR 17 00 ,GEAS 500G
Skivat smörgåspålägg,24 90 /st ,PÄRSONS 120G
Mayonnaise,28 90 /st ,HELLMANN'S 250ML
Choko flakes,24 90 /st ,ELDORADO 375G
Skivad ananas,17 90 /st ,DOLE 227/139G
Kryddor i små glasburkar,2 FÖR 30 00 ,KOCKENS 7G-56G
Tortillabröd,17 90 /st ,GARANT 6P • 370G
Ekologiska corn flakes,29 90 /st ,GARANT EKO 500G
Pastasås,17 90 /st ,BARILLA 400G
Smaksatt yoghurt,19 90 /st ,YOGGI 1KG
Cottage cheese,23 90 /st ,GARANT 500G
Gårdsgoda,22 90 /st ,VALIO 250G
Fruktklämmisar,5 FÖR 50 00 ,NESTLÉ 90G
Havregröt,44 90 /st ,NESTLÉ 480G
Energidryck,15 00 /st +pant ,NOCCO 33CL
Chokladkaka,24 90 /st ,LINDT 100G
Choklad stycksaker,3 FÖR 18 00 ,"SNICKERS 36,5G-57G"
Rosor mixade,59 90 /st ,BLOMMOR 7P
Fairtrade bukett,69 90 /st ,BLOMMOR STYCK
Batteri,36 90 /st ,VARTA 1P • 4P
Plastfolie,19 90 /st ,TOPPITS 50M
Diskduk,2 FÖR 35 00 ,WETTEX 4P
