Kycklinginnerfilé,49 90 /st ,GARANT 700G
Ekologiska fairtrade bananer,14 90 /kg ,KLASS 1 I LÖSVIKT
Nötfärs,49 90 /st ,GARANT 500G
Jättefranska,22 90 /st ,"PÅGEN 1,1KG"
Hushållsost,89 90 /kg ,"ARLA CA 1,1KG"
Pulled pork,47 90 /st ,GARANT 550G
Pave napoli,14 90 /st ,PANESCO 420G
"Fröbröd, ostbröd",2 FÖR 32 00 ,GARANT 4P • 200-320G
Mild vaniljyoghurt,14 90 /st ,GARANT 1KG
Butternutpumpa,19 90 /kg ,SPANIEN I LÖSVIKT
Päron Conference,29 90 /kg ,"BELGIEN, NEDERLÄNDERNA I LÖSVIKT"
Röd paprika,34 90 /kg ,"SPANIEN, NEDERLÄNDERNA I LÖSVIKT"
Zucchini,2 FÖR 22 00 ,SPANIEN STYCK
Ryggfilé av alaska pollock,39 90 /st ,ROYAL 300G
Glass 6-pack,39 90 /st ,GB GLACE 6P
Kycklingnuggets,52 90 /st ,KRONFÅGEL 440G
Isterband,24 90 /st ,CHARKDELIKATES 330G
Skivat smörgåspålägg,2 FÖR 35 00 ,GARANT 80-120G
Parmigiano,39 90 /st ,GARANT 150G
Skivad ost,45 90 /st ,ARLA 300G
Mjukost,44 90 /st ,KAVLI 330G
Flingor,31 90 /st ,NESTLÉ 325-375G
"Amerikansk dressing, gurkmajonäs",21 90 /st ,KAVLI 230G • 240G
Majonnäs,15 90 /st ,GARANT 350G
Krossade tomater,12 90 /st ,GARANT 390G
Proteinbars,2 FÖR 40 00 ,BAREBELLS 55G
Gulaschsoppa,2 FÖR 80 00 ,FELIX 560G
Majskorn 3-pack,25 90 /st ,GARANT 594/495G
Tacobåtar 8-pack,19 90 /st ,OLD EL PASO 193G
Taco kryddmix 3-pack,25 90 /st ,SANTA MARIA 84G
Tortillabröd 6-pack,19 90 /st ,SANTA MARIA 371G
Snabbnudlar,5 FÖR 22 00 ,BLUE GARDEN 85G
Pågenlimpan,29 90 /st ,PÅGEN 900G
Juice,27 90 /st ,BRAVO 2L
Gräddfil,17 90 /st ,GARANT 5DL
Yoghurtbägare,4 FÖR 40 00 ,BÄRRY 250G
Barnmat i glasburk,4 FÖR 55 00 ,HIPP 190-250G
Hippis klämmisar,4 FÖR 45 00 ,HIPP 100G
Klämmisar,4 FÖR 48 00 ,SEMPER 120G
Energidryck,3 FÖR 33 00 +pant ,RED BULL 25CL
Energidryck,3 FÖR 25 00 +pant ,POWERKING 33CL
Julmust 12-pack,44 90 /st +pant ,APOTEKARNES 12P/33CL
Kina snacks,2 FÖR 45 00 ,FAZER 155-180G
Toffifee,18 90 /st ,TOFFIFEE 125G
Rosor mixade,59 90 /st ,BLOMMOR 7P
Fairtrade bukett,69 90 /st ,BLOMMOR STYCK
