Blandfärs,39 90 /st ,GARANT 500G
Familjefavoriter,69 90 /kg ,"ARLA CA 750G-1,2KG"
Kvarg,14 90 /st ,LINDAHLS 500G
Polarpärlan 16-pack,24 90 /st ,POLARBRÖD 600G
Havredryck,2 FÖR 24 00 ,ELDORADO 1L
Skivad lövbiff,179 00 /kg ,GARANT CA 450G
Cognacmedwurst,27 90 /st ,GARANT 350G
Salladsbaren,99 00 /kg ,PICADELI I LÖSVIKT
Färska ekologiska kryddor,2 FÖR 30 00 ,SVERIGE STYCK
Satsumas,24 90 /kg ,SPANIEN I LÖSVIKT
Champinjoner,14 90 /st ,"POLEN, LITAUEN 250G"
Gurka,9 90 /st ,SPANIEN STYCK
Granatäpple,11 90 /st ,TURKIET STYCK
Bredbar leverpastej,13 90 /st ,SCAN 200G
Wienerkorv,24 90 /st ,GARANT 300G
"Skivad julskinka, julkyckling",39 90 /st ,GARANT 250G • 300G
Skivad ost,24 90 /st ,GARANT 150G
Västerbottensost,36 90 /st ,VÄSTERBOTTENS 150G
Ädelost,27 90 /st ,KVIBILLE 140G
Kryddor i påse,2 FÖR 14 00 ,KOCKENS 10-70G
Kryddor i påse,16 90 /st ,KOCKENS 20-85G
Nutella,44 90 /st ,NUTELLA 630G
Kakao,29 90 /st ,GARANT 250G
Hela hasselnötter,32 90 /st ,GARANT 200G
Bakchoklad,22 90 /st ,GARANT 200G
Sötmandel,27 90 /st ,GARANT 200G
Kryddmix,2 FÖR 25 00 ,KNORR 38-50G
Buljong 10-pack,2 FÖR 28 00 ,KNORR 100G/5L
Granola hasselnötter & dadlar,42 90 /st ,PAULÚNS 450G
Tortillabröd 8-pack,2 FÖR 28 00 ,SANTA MARIA 200G • 320G
Taco kryddmix 3-pack,26 90 /st ,SANTA MARIA 84G
Pepparkakor,13 90 /st ,ELDORADO 300G
Matgrädde,17 90 /st ,NO NAME 5DL
Grädde,19 90 /st ,NO NAME 5DL
Drickyoghurt,3 FÖR 25 00 ,ELDORADO 250G
Färsk tortelloni,25 90 /st ,GARANT 250G
Energidryck,2 FÖR 35 00 +pant ,"CELSIUS 35,5CL"
Chips,2 FÖR 40 00 ,DORITOS 170G
Russin,2 FÖR 22 00 ,ELDORADO 250G
Chips,29 90 /st ,PRINGLES 200G
"Tutti frutti, tyrkisk peber",2 FÖR 30 00 ,FAZER 150-180G
Calender,129 00 /st ,LINDT 170G
Chokladkakor,2 FÖR 25 00 ,RITTER SPORT 100G
"Kexchoklad, dubbla stycksaker",3 FÖR 18 00 ,CLOETTA 50G • 60G
Chokladkaka,24 90 /st ,LINDT 100G
Lindorkulor,2 FÖR 79 00 ,LINDT 137G
Chokladkakor,2 FÖR 40 00 ,MARABOU 185G • 200G
Tulpaner lyx,69 90 /st ,BLOMMOR 7P
Rosbukett med liljor,49 90 /st ,BLOMMOR STYCK
Dekorerad amaryllis,69 90 /st ,BLOMMOR STYCK
Batterier 10-pack,49 90 /st ,VARTA 10P
