Ekologiska fairtrade bananer,14 90 /kg ,KLASS 1 I LÖSVIKT
Högrev,89 90 /kg ,"PRIME CA 1,2KG"
Julmust,39 90 /st +pant ,APOTEKARNES 12P/33CL
Tvättmedel,2 FÖR 49 00 ,A+ 700G • 880ML-928ML
Skivat smörgåspålägg,9 90 /st ,PRIME PATROL 100G
Ekologisk nötfärs,59 90 /st ,GARANT EKO 500G
Kycklingfärs,39 90 /st ,GARANT 500G
Hel halloumi,23 90 /st ,GARANT 200G
Pave napoli,14 90 /st ,LA LORRAINE 420G
"Fruktdryck, bärdryck",22 90 /st ,PROVIVA 1L
"Broccoli, zucchini",12 90 /st ,SPANIEN STYCK
Paprikamix,19 90 /st ,SPANIEN 400G
Mango,17 90 /st ,BRASILIEN STYCK
Laxfilé,89 90 /st ,POSEIDON 4X125G
Mango,2 FÖR 44 00 ,ELDORADO 500G
Bredbar leverpastej,13 90 /st ,SCAN 200G
Blodpudding,2 FÖR 16 00 ,GEAS 500G
Tärnat bacon,13 90 /st ,GARANT 140G
Skivad ost,24 90 /st ,GARANT 150G
Riven ost,21 90 /st ,GARANT 150G
Västerbottensost,36 90 /st ,VÄSTERBOTTENS 150G
Kryddor i påse,2 FÖR 14 00 ,KOCKENS 10-70G
Kryddor i påse,16 90 /st ,KOCKENS 20-85G
Nutella,44 90 /st ,NUTELLA 630G
Kakao,29 90 /st ,GARANT 250G
Hela hasselnötter,32 90 /st ,GARANT 200G
Bakchoklad,22 90 /st ,GARANT 200G
Sötmandel,27 90 /st ,GARANT 200G
Kryddmix,2 FÖR 25 00 ,KNORR 38-50G
Buljong 10-pack,2 FÖR 28 00 ,KNORR 100G/5L
Tortillabröd 8-pack,2 FÖR 28 00 ,SANTA MARIA 200G • 320G
Taco kryddmix 3-pack,26 90 /st ,SANTA MARIA 84G
Skogaholmslimpa,24 90 /st ,SKOGAHOLM 775G
Margarin,18 90 /st ,GARANT 500G
Gräddfil,10 90 /st ,GARANT 3DL
Färsk tortelloni,25 90 /st ,GARANT 250G
Energidryck,2 FÖR 35 00 +pant ,"CELSIUS 35,5CL"
Russin,2 FÖR 22 00 ,ELDORADO 250G
Chips,29 90 /st ,PRINGLES 200G
"Tutti frutti, tyrkisk peber",2 FÖR 30 00 ,FAZER 150-180G
Calender,129 00 /st ,LINDT 170G
"Kexchoklad, dubbla stycksaker",3 FÖR 18 00 ,CLOETTA 50G • 60G
Chokladkaka,24 90 /st ,LINDT 100G
Lindorkulor,2 FÖR 79 00 ,LINDT 137G
Chokladkakor,2 FÖR 40 00 ,MARABOU 185G • 200G
Julros,59 90 /st ,BLOMMOR STYCK
Röd amaryllis,49 90 /st ,BLOMMOR STYCK
Batterier 10-pack,49 90 /st ,VARTA 10P
