Clementiner,19 90 /kg ,SPANIEN I LÖSVIKT
Julmust,79 00 /st +pant ,APOTEKARNES 33CL
Kycklinginnerfilé,49 90 /st ,GARANT 700G
Hushållsost,79 90 /kg ,"ARLA CA 1,1KG"
Grillkorv,12 90 /st ,LITHELLS 400G
Gul lök,12 90 /kg ,SVERIGE I LÖSVIKT
Enportionspajer,4 FÖR 99 00 ,DAFGÅRDS 240G
Mozzarella,2 FÖR 20 00 ,FRESCA D´ORO 125G
Barista havredryck,2 FÖR 28 00 ,GARANT 1L
"Kylda såser, röror, dressingar",2 FÖR 30 00 ,GARANT 200-250ML • 220G
Färska hamburgare 4-pack,39 90 /st ,GARANT 452G
Spareribs,59 90 /st ,TULIP 500G
Granatäpple,12 90 /st ,TURKIET STYCK
Champinjoner,14 90 /st ,"POLEN, LITAUEN 250G"
Ekologisk potatis,17 90 /st ,SVERIGE 900G
Ekologiska citroner,2 FÖR 15 00 ,SPANIEN STYCK
"Skivad julskinka, julkyckling",2 FÖR 35 00 ,GARANT 100G • 110G
Mjukost,31 90 /st ,KAVLI 175G
Blåmögelost,29 90 /st ,SAINT AGUR 115G
Västerbottensost,36 90 /st ,VÄSTERBOTTENS 150G
Kryddor i påse,2 FÖR 14 00 ,KOCKENS 10-70G
Kryddor i påse,16 90 /st ,KOCKENS 20-85G
Nutella,44 90 /st ,NUTELLA 630G
Kakao,29 90 /st ,GARANT 250G
Hela hasselnötter,32 90 /st ,GARANT 200G
Bakchoklad,22 90 /st ,GARANT 200G
Sötmandel,27 90 /st ,GARANT 200G
Kryddmix,2 FÖR 25 00 ,KNORR 38-50G
Buljong 10-pack,2 FÖR 28 00 ,KNORR 100G/5L
Finkrossade tomater 3-pack,21 90 /st ,"GARANT 1,17KG"
Tortillabröd 8-pack,2 FÖR 28 00 ,SANTA MARIA 200G • 320G
Taco kryddmix 3-pack,26 90 /st ,SANTA MARIA 84G
Lussekatter 5-pack,29 90 /st ,SKOGAHOLM 250G
Pepparkakor,24 90 /st ,ANNAS 400G
Munkar,4 FÖR 30 00 ,DAFGÅRD 63-72G
Jubileumskaka,19 90 /st ,POLARBRÖD 400G
"Originalrost, fiberrost",22 90 /st ,SKOGAHOLM 1KG
Juice,39 90 /st +pant ,BRÄMHULTS 850ML
"Risifrutti, mannafrutti",2 FÖR 20 00 ,RISIFRUTTI 165G • 175G
Cottage cheese,23 90 /st ,GARANT 500G
Duschkräm,14 90 /st ,FAMILY FRESH 500ML
"Alkoholfri öl, cider",3 FÖR 30 00 ,MARIESTADS 33CL
God jul glögg,24 90 /st ,SATURNUS 75CL
Energidryck,2 FÖR 35 00 +pant ,"CELSIUS 35,5CL"
Julmust 4-pack,39 90 /st +pant ,"APOTEKARNES 4P/1,4L"
Russin,38 90 /st ,GARANT 500G
Russin,39 90 /st ,SALTÅ KVARN 500G
Dadlar,2 FÖR 25 00 ,LYNA 200G
Valnötter,49 90 /st ,ELDORADO 400G
Russin,2 FÖR 22 00 ,ELDORADO 250G
Chips,29 90 /st ,PRINGLES 200G
Guldask,99 00 /st ,ANTHON BERG 400G
Chokladaskar,2 FÖR 85 00 ,FAZER 228-300G
After eight,44 90 /st ,NESTLÉ 400G
"Tutti frutti, tyrkisk peber",2 FÖR 30 00 ,FAZER 150-180G
Calender,129 00 /st ,LINDT 170G
"Kexchoklad, dubbla stycksaker",3 FÖR 18 00 ,CLOETTA 50G • 60G
Chokladkaka,24 90 /st ,LINDT 100G
Lindorkulor,2 FÖR 79 00 ,LINDT 137G
Chokladkakor,2 FÖR 40 00 ,MARABOU 185G • 200G
