Apelsiner,19 90 /kg ,SPANIEN I LÖSVIKT
Fläskytterfilé,64 90 /kg ,DALSJÖFORS CA 900G
Småbröd 4-pack,9 90 /st ,GARANT 200-320G
Ekologisk havredryck,15 90 /st ,GARANT EKO 1L
Skivat smörgåspålägg,9 90 /st ,PRIME PATROL 100G
"Kycklingbröstfilé, kycklinglårfilé",89 90 /st ,ELDORADO 900G
Hel halloumi,24 90 /st ,GARANT 200G
Orientaliskt bröd,2 FÖR 14 00 ,GARANT 350G
"Ikaffe, no sugars oatdrink",2 FÖR 30 00 ,OATLY 1L
Äpple Pink Lady,34 90 /kg ,ITALIEN I LÖSVIKT
Blåbär i ask,24 90 /st ,"PERU, SYDAFRIKA 125G"
Babyplommontomater i hink,39 90 /st ,"SPANIEN, MAROCKO 500G"
Brysselkål i nät,14 90 /st ,NEDERLÄNDERNA 500G
Lax,69 90 /st ,ISFJORD NORWAY 4X100G
Ölkorv,14 90 /st ,RIDDERHEIMS 50G
Skivad julskinka,39 90 /st ,GARANT 300G
Skivad salami,23 90 /st ,GØL 150G
Mjukost,31 90 /st ,KAVLI 175G
Brie,34 90 /st ,PRÉSIDENT 200G
Bavaria blue,22 90 /st ,BERGADER 150G
"Präst®, Grevé®, Herrgård®",89 90 /kg ,GARANT CA 710G
Senap,18 90 /st ,JOHNNY'S 500G
Ströbröd,10 90 /st ,ELDORADO 400G
Riven kokos,12 90 /st ,ELDORADO 200G
Block,17 90 /st ,ELDORADO 150G • 200G
Dijonsenap,24 90 /st ,GREY POUPON 215G
Samarin,39 90 /st ,SAMARIN 36P
Skivade rödbetor,21 90 /st ,GARANT 560/380G
Skivad smörgåsgurka,17 90 /st ,GARANT 560/350G
Vetemjöl,15 90 /st ,KUNGSÖRNEN 2KG
Lussekatter 5-pack,29 90 /st ,SKOGAHOLM 250G
"Julvört, vörtlimpa",29 90 /st ,SKOGAHOLM 600G
Bregott,49 90 /st ,BREGOTT 600G
Mild vaniljyoghurt,18 90 /st ,GARANT 1KG
"Culinesse, mat & bak",18 90 /st ,MILDA 500ML • 500G
Crème fraiche,24 90 /st ,GARANT 5DL
Vispgrädde,16 90 /st ,GARANT 3DL
Rödbetssallad,11 90 /st ,ELDORADO 400G
Duschkräm,14 90 /st ,FAMILY FRESH 500ML
"Alkoholfri öl, cider",3 FÖR 30 00 ,MARIESTADS 33CL
God jul glögg,24 90 /st ,SATURNUS 75CL
Julmust 4-pack,39 90 /st +pant ,"APOTEKARNES 4P/1,4L"
Russin,38 90 /st ,GARANT 500G
Russin,39 90 /st ,SALTÅ KVARN 500G
Dadlar,2 FÖR 25 00 ,LYNA 200G
Valnötter,49 90 /st ,ELDORADO 400G
Guldask,99 00 /st ,ANTHON BERG 400G
Chokladaskar,2 FÖR 85 00 ,FAZER 228-300G
After eight,44 90 /st ,NESTLÉ 400G
Amaryllis,99 00 /st ,BLOMMOR 3P
Hyacint,39 90 /st ,BLOMMOR STYCK
Julros,59 90 /st ,BLOMMOR STYCK
