Kycklingfilé,79 90 /st ,GARANT 1KG
Hushållsost,89 90 /kg ,GARANT CA 1KG
Pulled pork,49 90 /st ,TULIP 450G
"Rökt skinka, kokt skinka",18 90 /st ,GARANT 200G
Pasta korta former,11 90 /st ,GARANT 500G
Pave napoli,14 90 /st ,LA LORRAINE 420G
Bordsmargarin,18 90 /st ,LÄTTA 600G
Chokladhjärta,49 90 /st ,MARABOU 165G
Cocktailtomater på kvist 500g,19 90 /st ,500G
Äpple Granny smith,19 90 /kg ,ITALIEN I LÖSVIKT
Lime,3 FÖR 10 00 ,"BRASILIEN, COLOMBIA, MEXIKO STYCK"
Röd spetspaprika 200g,14 90 /st ,"SPANIEN, MAROCKO 200G"
Rödbetor,9 90 /kg ,SVERIGE I LÖSVIKT
Purjolök,19 90 /kg ,NEDERLÄNDERNA I LÖSVIKT
Kruspersilja,9 90 /st ,"ITALIEN, SPANIEN, MAROCKO 30G"
Bladpersilja,9 90 /st ,"ITALIEN, SPANIEN, MAROCKO 50G"
Dill,9 90 /st ,"ITALIEN, SPANIEN, MAROCKO 20G"
Gräslök,9 90 /st ,"ITALIEN, SPANIEN, MAROCKO 15G"
Ekologisk bladselleri,19 90 /st ,SPANIEN STYCK
Småländska isterband,22 90 /st ,LITHELLS 330G
Ölkorv 3-pack,24 90 /st ,PRIME PATROL 120G
Skivat bacon 3-pack,41 90 /st ,SCAN 420G
Hårdost,34 90 /st ,FRESCA D´ORO 180G
Mjukost,38 90 /st ,KAVLI 250G • 275G
Fetaost,14 90 /st ,OLYMPUS 100G
Kaviar,21 90 /st ,GARANT 250G
Tångcaviar,17 90 /st ,GARANT 70G
"Tipo 00 siktat vetemjöl, Manitoba cream",24 90 /st ,RAMLÖSA KVARN 2KG
Ready to drink,21 90 /st ,NATURDIET 330ML
"Kokosmjölk, kokosgrädde",2 FÖR 26 00 ,GARANT EKO • GARANT 250ML
"Dressing, gurkmajonnäs",20 90 /st ,KAVLI 230G • 240G
Pastasås,19 90 /st ,BARILLA 400G
Ekologisk buljong 6-pack,2 FÖR 22 00 ,GARANT EKO 6P/3L
Ekologiska kikärter,2 FÖR 24 00 ,GARANT EKO 380/230G
Glutenfritt surdegsbröd,35 90 /st ,SCHÄR 300G
Ekologiskt jordnötssmör,32 90 /st ,GARANT EKO 350G
"Proteinbar, proteindrink",17 90 /st ,GAINOMAX 50G • 60G • 250ML
Bar,2 FÖR 16 00 ,CORNY 40G • 50G
Spaghetti,14 90 /st ,MONTE CASTELLO 1KG
Senap,19 90 /st ,JOHNNY'S 500G
Pesto,26 90 /st ,GARANT 200G
Snabbkaffe,49 90 /st ,GARANT 200G
Rostad lök,14 90 /st ,ELDORADO 150G
Krossade tomater,2 FÖR 20 00 ,GARANT 390G
Finkrossade tomater 3-pack,26 90 /st ,"GARANT 1,17KG"
Light dryck,23 90 +pant ,"ZEROH 80CL/7,2 • 80CL/8L"
Makrillfilé i tomatsås,15 90 /st ,ELDORADO 125G
Havreringar,18 90 /st ,FREBACO KVARN 350G
Snackpot,14 90 /st ,KNORR 60G • 63G
Tortilla 8-pack,2 FÖR 30 00 ,SANTA MARIA 320G
Glutenfri quinoa,24 90 /st ,GAROFALO 400G
Ketchup,21 90 /st ,FELIX 500G
Granola,43 90 /st ,PAULÚNS 450G
Granola,49 90 /st ,PAULÚNS 450G
Wafers,22 90 /st ,ELDORADO 415G
Fullkornsgott,19 90 /st ,GARANT 700G
Bröd,17 90 /st ,GARANT 500G
Roast'n toast,27 90 /st ,PÅGEN 800G
Cookies,19 90 /st ,OREO 154G • 157G
