Falukorv,24 90 /st ,GARANT 800G
Färsk fläskfilé,79 90 /kg ,DANISH CROWN CA 650G
"Risifrutti, mannafrutti",4 FÖR 35 00 ,RISIFRUTTI • MANNAFRUTTI 165G • 175G
Juice,22 90 +pant ,GARANT 1L
Färsk kycklingbröstfilé,109 00 /kg ,GARANT CA 850G
Pizza,2 FÖR 35 00 ,MONTE CASTELLO 300G
Skivat smörgåspålägg,2 FÖR 42 00 ,LÖNNEBERGA 90G • 105G
Potatis 2kg,19 90 /st ,SVERIGE 2KG
Röd spetspaprika 200g,14 90 /st ,"SPANIEN, MAROCKO 200G"
Gul lök 1kg,9 90 /st ,SVERIGE 1KG
Hel vitkål,14 90 /kg ,TYSKLAND I LÖSVIKT
Delad vitkål,19 90 /kg ,TYSKLAND I LÖSVIKT
Citron,3 FÖR 10 00 ,SPANIEN STYCK
Äpple Jonagold,14 90 /kg ,POLEN I LÖSVIKT
Wienerkorv,26 90 /st ,GARANT 300G
"Salami chips, snacks, sticks",2 FÖR 45 00 ,GÖL 70G • 80G
Kryddkorv,29 90 /st ,SCAN 240G • 300G
Bredbar leverpastej,12 90 /st ,SCAN 200G
Skivat bacon,2 FÖR 25 00 ,GARANT 140G
Mjukost,38 90 /st ,KAVLI 250G • 275G
Sill i småglas,2 FÖR 35 00 ,GARANT 220G • 220/110G
Varmrökt lax,49 90 /st ,FALKENBERG 125G
Sås,17 90 /st ,ELDORADO 320ML
Ready to drink,21 90 /st ,NATURDIET 330ML
"Dressing, gurkmajonnäs",20 90 /st ,KAVLI 230G • 240G
Snabbnudlar,5 FÖR 22 00 ,ELDORADO 85G
Pastasås,19 90 /st ,BARILLA 400G
Glutenfritt surdegsbröd,35 90 /st ,SCHÄR 300G
Äggnudlar,2 FÖR 22 00 ,SPICEFIELD 250G
"Proteinbar, proteindrink",17 90 /st ,GAINOMAX 50G • 60G • 250ML
"Ekologiska passerade, krossade tomater",2 FÖR 24 00 ,GARANT EKO 390G
Bar,2 FÖR 16 00 ,CORNY 40G • 50G
Krydda,17 90 /st ,KOCKENS 7-175G
Havrekuddar,35 90 /st ,ELDORADO 650G
Senap,19 90 /st ,JOHNNY'S 500G
Sardiner,17 90 /st ,ELDORADO 120G
Rostad lök,14 90 /st ,ELDORADO 150G
Proteinbar,2 FÖR 38 00 ,BAREBELLS 55G
Krossade tomater,2 FÖR 20 00 ,GARANT 390G
Light dryck,23 90 +pant ,"ZEROH 80CL/7,2 • 80CL/8L"
Idealmakaroner,12 90 /st ,KUNGSÖRNEN 750G
Tomatketchup,29 90 /st ,HEINZ 960G • 1KG
Snackpot,14 90 /st ,KNORR 60G • 63G
Tortilla 8-pack,2 FÖR 30 00 ,SANTA MARIA 320G
Glutenfri quinoa,24 90 /st ,GAROFALO 400G
Ketchup,21 90 /st ,FELIX 500G
Granola,43 90 /st ,PAULÚNS 450G
Granola,49 90 /st ,PAULÚNS 450G
Sandwich 2-pack,4 FÖR 30 00 ,WASA 30-40G
Tuc kex,9 90 /st ,LU 100G
"Kanel gifflar, vaniljagifflar",2 FÖR 45 00 ,PÅGEN 280G • 300G
Kanelbullar 10-pack,24 90 /st ,SKOGAHOLM 450G
Jubileumskaka,19 90 /st ,POLARBRÖD 400G
Majskakor,2 FÖR 35 00 ,FRIGGS 125G
Cookies,19 90 /st ,OREO 154G • 157G
"Pågenlimpan, Skärgårdskaka hönö",27 90 /st ,PÅGEN 750G • 900G
Rye snacks,19 90 /st ,FINN CRISP 150G
Havredryck barista,15 90 /st ,GARANT 1L
"Smoothie, apelsinjuice",13 90 +pant ,GARANT 250ML
