Ätmogen avokado, 5:-   /st  ,Chile/Peru/Coop. Ca 170 g. Klass 1.
Babyplommontomater," 29 90
/förp  ",Nederländerna/Marocko. 400 g. Klass 1. I hink. Jfr-pris 74:75/kg.
Paraguayos i ask, 25:-   /st  ,Spanien. 500 g. Klass 1. Jfr-pris 50:-/kg.
Lime,3 för 10:-  ,Brasilien. Ca 90 g. Klass 1. Jfr-pris 37:-/kg.
Ekologisk zucchini, 15:-   /st  ,Spanien. 360 g. Jfr-pris 41:67/kg.
Romansallat," 9 90
/st  ",Sverige. Ca 250 g. Klass 1.
Färsk fläskfilé," 59 90
/kg  ",Danmark/Danish Crown. Ca 590 g. Kyld. Märkt med Animal Welfare. Jfr-pris 59:90/kg.
Skivad lax," 34 90
/st  ",Coop. 150 g. Välj mellan kallrökt och gravad. Jfr-pris 232:67/kg. Latin: Salmo salar.
Matjessill," 9 90
/st  ",Coop. 200 g. I bitar. Jfr-pris 79:20/kg utan sås/spad.
Grillkorv," 36 90
/st  ",Sverige/Scan. 270-640 g. Välj mellan olika sorter. Jfr-pris 76:88/kg.
Salamisnacks, 20:-   /st  ,Göl. 80 g. Välj mellan chips och sticks. Jfr-pris 250:-/kg.
Dressing/Såser,2 för 39:-  ,Eriks Såser. 170-255 ml. Kylda. Välj mellan olika sorter. Jfr-pris 84:78/lit.
Sill i glas,3 för 39:-  ,Abba. 220-240 g. Välj mellan olika sorter. Jfr-pris 108:33/kg utan sås/spad.
Salami," 21 90
/st  ",Sverige/Grilstad. 80-100 g. Välj mellan olika sorter. Jfr-pris 273:75/kg.
Färsk majskycklingfilé, 169:-   /kg  ,Sverige/Guldfågeln. Ca 600-1060 g. Välj mellan bröstfilé och lårfilé. Jfr-pris 169:-/kg.
Grillspett av fläsk," 44 90
/st  ",Sverige/Dalsjöfors. 400 g. Av fläsk. Grillmarinerade. Jfr-pris 112:25/kg.
Matjessill,2 för 30:-  ,Abba. 215 g. Välj mellan olika sorter. Jfr-pris 120:-/kg utan sås/spad.
Inlagd tofu," 26 90
/st  ",Coop. 200 g. Välj mellan olika sorter. Jfr-pris 134:50/kg.
Färska Kycklingspett, 79:-   /st  ,Sverige/Lönneberga. 480 g. Kylda. Grillkryddade. Välj mellan olika sorter. Jfr-pris 164:58/kg.
